,Value(uM),Subject Age,Subject Sex,Subject Information,Comment,File
10854,0.068 +/- 0.049,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-13523
10855,,,,Normal,None,hmdb_metabolites-14055
10856,,,,Normal,None,hmdb_metabolites-14056
10857,0.000166,Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-14080
10858,,,,Normal,None,hmdb_metabolites-14298
10859,,,,Normal,None,hmdb_metabolites-14299
10860,,,,Normal,None,hmdb_metabolites-14300
10861,,,,Normal,None,hmdb_metabolites-14460
10862,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14603
10863,,,,Consuming polyphenols described by Phenol-Explorer entry 909,None,hmdb_metabolites-14696
10864,0.16 +/- 0.05,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14703
10865,0.16,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14720
10866,0.18,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14720
10867,0.094,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14720
10868,0.181 +/- 0.00500,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10869,0.150 +/- 0.0800,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14720
10870,0.180 +/- 0.120,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14720
10871,0.136 +/- 0.150,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10872,0.160 +/- 0.110,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10873,0.270 +/- 0.170,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10874,0.107 +/- 0.130,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-14720
10875,0.180 +/- 0.100,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-14720
10876,0.200 +/- 0.120,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-14720
10877,0.130 +/- 0.180,Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-14720
10878,0.327 +/- 0.175,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14720
10879,0.620 +/- 0.330,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10880,0.700 +/- 0.310,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10881,0.09,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10882,0.09,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-14720
10883,170 +/- 50,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10884,0.313 +/- 0.172,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14720
10885,0.147 +/- 0.102,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14720
10886,0.14,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14720
10887,0.16,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14720
10888,0.091,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14720
10889,0.196,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10890,0.245,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10891,0.289,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10892,0.209,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10893,0.23,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10894,0.283,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10895,0.14,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14720
10896,0.141,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14720
10897,0.422,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14720
10898,0.0400 +/- 0.0300,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14720
10899,0.130 +/- 0.190,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14720
10900,0.150 +/- 0.0850,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14720
10901,0.170 +/- 0.112,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14720
10902,0.250 +/- 0.350,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14720
10903,0.324 +/- 0.174,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14720
10904,0.169,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10905,0.177,Adolescent (13-18 years old),Female,Normal,None,hmdb_metabolites-14720
10906,0.18,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10907,0.215,Children (1-13 years old),Female,Normal,None,hmdb_metabolites-14720
10908,0.27,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10909,0.34,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10910,0.190 +/- 0.160,Adolescent (13-18 years old),Female,Normal,None,hmdb_metabolites-14720
10911,0.194 +/- 0.121,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10912,0.225 +/- 0.167,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10913,0.275 +/- 0.295,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10914,0.295 +/- 0.279,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10915,0.374 +/- 0.190,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10916,0.465 +/- 0.351,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10917,221.751 +/- 113.408,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10918,0.152,Adolescent (13-18 years old),Male,Normal,None,hmdb_metabolites-14720
10919,0.16,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-14720
10920,0.17,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-14720
10921,0.174,Children (1-13 years old),Male,Normal,None,hmdb_metabolites-14720
10922,0.23,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-14720
10923,0.116 +/- 0.0778,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-14720
10924,,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-14720
10925,0.125 +/- 0.0742,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-14720
10926,0.148 +/- 0.101,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-14720
10927,0.150 +/- 0.160,Adolescent (13-18 years old),Male,Normal,None,hmdb_metabolites-14720
10928,0.167 +/- 0.132,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-14720
10929,0.181 +/- 0.202,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-14720
10930,0.203 +/- 0.165,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-14720
10931,0.259 +/- 0.123,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-14720
10932,130 +/- 90,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-14720
10933,240 +/- 160,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-14720
10934,240.381 +/- 118.291,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-14720
10935,0.220 +/- 0.210,Children (1 - 13 years old),Not Specified,Normal,None,hmdb_metabolites-14720
10936,,,,Normal,None,hmdb_metabolites-14746
10937,0.00160 (0.00144-0.00177),Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-15039
10938,0.00119 (0.00106-0.00132),Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-15039
10939,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-15090
10940,0.000490 (0.000422-0.00528),Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-15109
10941,0.000374 (0.000298-0.00470),Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-15109
10942,36.61(48.27),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-15127
10943,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-15143
10944,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-15143
10945,,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-15143
10946,0.465 +/- 0.064,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-15182
10947,0.568 +/- 0.054,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-15182
10948,0.419 +/- 0.06,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-15182
10949,0.523 +/- 0.146,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-15182
10950,0.572 +/- 0.034,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-15182
10951,0.674 +/- 0.043,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-15182
10952,0.564 +/- 0.061,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-15182
10953,0.564 +/- 0.062,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-15182
10954,0.000411-0.00657,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-15231
10955,0.000221-0.00594,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-15231
10956,,,,Normal,None,hmdb_metabolites-15366
10957,,,,Normal,None,hmdb_metabolites-15387
10958,,,,Normal,None,hmdb_metabolites-15536
10959,,,,Normal,None,hmdb_metabolites-15551
10960,,,,Normal,None,hmdb_metabolites-15632
10961,,,,Normal,None,hmdb_metabolites-15674
10962,,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-15701
10963,11.722 +/- 5.378,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-15948
10964,,,,Normal,None,hmdb_metabolites-17017
10965,,,,Normal,None,hmdb_metabolites-17019
10966,,,,Normal,None,hmdb_metabolites-17020
10967,,,,Normal,None,hmdb_metabolites-17021
10968,,,,Normal,None,hmdb_metabolites-17022
10969,,,,Normal,None,hmdb_metabolites-17023
10970,,,,Normal,None,hmdb_metabolites-17024
10971,,,,Normal,None,hmdb_metabolites-17026
10972,,,,Normal,None,hmdb_metabolites-17027
10973,,,,Normal,None,hmdb_metabolites-17028
10974,,,,Normal,None,hmdb_metabolites-17029
10975,,,,Normal,None,hmdb_metabolites-17030
10976,,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-17623
10977,,,,Normal,None,hmdb_metabolites-17638
10978,,,,Normal,None,hmdb_metabolites-17643
10979,,,,Normal,None,hmdb_metabolites-17644
10980,,,,Normal,None,hmdb_metabolites-17645
10981,,,,Normal,None,hmdb_metabolites-17646
10982,,,,Normal,None,hmdb_metabolites-17647
10983,,,,Normal,None,hmdb_metabolites-17648
10984,,,,Normal,None,hmdb_metabolites-17649
10985,,,,Normal,None,hmdb_metabolites-17650
10986,,,,Normal,None,hmdb_metabolites-17651
10987,,,,Normal,None,hmdb_metabolites-17652
10988,,,,Normal,None,hmdb_metabolites-17653
10989,,,,Normal,None,hmdb_metabolites-17654
10990,,,,Normal,None,hmdb_metabolites-17655
10991,,,,Normal,None,hmdb_metabolites-17679
10992,,,,Normal,None,hmdb_metabolites-17788
10993,,,,Normal,None,hmdb_metabolites-17951
10994,,,,Consuming polyphenols described by Phenol-Explorer entry 293,None,hmdb_metabolites-18042
10995,,,,Consuming polyphenols described by Phenol-Explorer entry 293,None,hmdb_metabolites-18042
10996,,,,Consuming polyphenols described by Phenol-Explorer entry 307,None,hmdb_metabolites-18043
10997,,,,Consuming polyphenols described by Phenol-Explorer entry 307,None,hmdb_metabolites-18043
10998,,,,Normal,None,hmdb_metabolites-18138
10999,0.00027(0.00023-0.00033),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-18224
11000,,,,Normal,None,hmdb_metabolites-18421
11001,,,,Normal,None,hmdb_metabolites-18426
11002,,,,Normal,None,hmdb_metabolites-18427
11003,,,,Consuming polyphenols described by Phenol-Explorer entry 128,None,hmdb_metabolites-18607
11004,,,,Consuming polyphenols described by Phenol-Explorer entry 128,None,hmdb_metabolites-18607
11005,,,,Consuming polyphenols described by Phenol-Explorer entry ,None,hmdb_metabolites-18638
11006,,,,Consuming polyphenols described by Phenol-Explorer entry ,None,hmdb_metabolites-18638
11007,,,,Consuming polyphenols described by Phenol-Explorer entry ,None,hmdb_metabolites-18638
11008,,,,Consuming polyphenols described by Phenol-Explorer entry ,None,hmdb_metabolites-18638
11009,,,,Consuming polyphenols described by Phenol-Explorer entry ,None,hmdb_metabolites-18638
11010,,,,Consuming polyphenols described by Phenol-Explorer entry 8,None,hmdb_metabolites-18639
11011,,,,Consuming polyphenols described by Phenol-Explorer entry 8,None,hmdb_metabolites-18639
11012,,,,Consuming polyphenols described by Phenol-Explorer entry 8,None,hmdb_metabolites-18639
11013,,,,Consuming polyphenols described by Phenol-Explorer entry 8,None,hmdb_metabolites-18639
11014,,,,Consuming polyphenols described by Phenol-Explorer entry 8,None,hmdb_metabolites-18639
11015,,,,Consuming polyphenols described by Phenol-Explorer entry 8,None,hmdb_metabolites-18639
11016,,,,Consuming polyphenols described by Phenol-Explorer entry 27,None,hmdb_metabolites-18659
11017,,,,Consuming polyphenols described by Phenol-Explorer entry 27,None,hmdb_metabolites-18659
11018,,,,Consuming polyphenols described by Phenol-Explorer entry 27,None,hmdb_metabolites-18659
11019,,,,Consuming polyphenols described by Phenol-Explorer entry 27,None,hmdb_metabolites-18659
11020,,,,Consuming polyphenols described by Phenol-Explorer entry 27,None,hmdb_metabolites-18659
11021,,,,Normal,None,hmdb_metabolites-18692
11022,,,,Normal,None,hmdb_metabolites-18706
11023,,,,Normal,None,hmdb_metabolites-18729
11024,,,,Consuming polyphenols described by Phenol-Explorer entry 33,None,hmdb_metabolites-18751
11025,,,,Consuming polyphenols described by Phenol-Explorer entry 33,None,hmdb_metabolites-18751
11026,,,,Consuming polyphenols described by Phenol-Explorer entry 33,None,hmdb_metabolites-18751
11027,,,,Normal,None,hmdb_metabolites-18910
11028,,,,Normal,None,hmdb_metabolites-18911
11029,,,,Normal,None,hmdb_metabolites-18912
11030,,,,Normal,None,hmdb_metabolites-18913
11031,,,,Normal,None,hmdb_metabolites-18914
11032,,,,Normal,None,hmdb_metabolites-18941
11033,,,,Normal,None,hmdb_metabolites-18942
11034,,,,Normal,None,hmdb_metabolites-18943
11035,,,,Normal,None,hmdb_metabolites-18944
11036,,,,Normal,None,hmdb_metabolites-18945
11037,,,,Normal,None,hmdb_metabolites-18948
11038,,,,Normal,None,hmdb_metabolites-18949
11039,0.0054,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-19130
11040,0.009,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-19130
11041,0.011,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-19130
11042,0.00710 +/- 0.00390,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-19130
11043,0.00720 +/- 0.00420,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-19130
11044,0.00549,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-19130
11045,0.00567,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-19130
11046,0.00690 +/- 0.00320,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-19130
11047,0.0117 +/- 0.00650,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-19169
11048,0.00626,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-19169
11049,0.00645,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-19169
11050,0.0103 +/- 0.00460,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-19169
11051,0.007,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-19169
11052,0.011,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-19169
11053,0.013,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-19169
11054,0.0113 +/- 0.00600,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-19169
11055,0.0109 +/- 0.00610,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-19175
11056,0.00505,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-19175
11057,0.0053,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-19175
11058,0.00920 +/- 0.00430,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-19175
11059,0.005,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-19175
11060,0.006,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-19175
11061,0.006,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-19175
11062,0.0105 +/- 0.00570,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-19175
11063,,,,Normal,None,hmdb_metabolites-19409
11064,,,,Normal,None,hmdb_metabolites-19412
11065,,,,Normal,None,hmdb_metabolites-19448
11066,,,,Normal,None,hmdb_metabolites-19622
11067,,,,Normal,None,hmdb_metabolites-19741
11068,,,,Normal,None,hmdb_metabolites-19751
11069,,,,Normal,None,hmdb_metabolites-19915
11070,,,,Normal,None,hmdb_metabolites-19918
11071,,,,Normal,None,hmdb_metabolites-19955
11072,,,,Normal,None,hmdb_metabolites-20040
11073,,,,Normal,None,hmdb_metabolites-20045
11074,,,,Normal,None,hmdb_metabolites-20517
11075,,,,Normal,None,hmdb_metabolites-20518
11076,,,,Normal,None,hmdb_metabolites-20519
11077,,,,Normal,None,hmdb_metabolites-20520
11078,,,,Normal,None,hmdb_metabolites-20521
11079,,,,Normal,None,hmdb_metabolites-20544
11080,,,,Normal,None,hmdb_metabolites-20545
11081,,,,Normal,None,hmdb_metabolites-20546
11082,,,,Consuming polyphenols described by Phenol-Explorer entry 774,None,hmdb_metabolites-20896
11083,,,,Normal,None,hmdb_metabolites-21402
11084,,,,Normal,None,hmdb_metabolites-21434
11085,0.10 +/- 0.03,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-21588
11086,,,,Normal,None,hmdb_metabolites-21817
11087,,,,Normal,None,hmdb_metabolites-21956
11088,,,,Consuming polyphenols described by Phenol-Explorer entry 770,None,hmdb_metabolites-22077
11089,,,,Normal,None,hmdb_metabolites-22189
11090,,,,Normal,None,hmdb_metabolites-22205
11091,,,,Normal,None,hmdb_metabolites-22206
11092,,,,Normal,None,hmdb_metabolites-22207
11093,,,,Normal,None,hmdb_metabolites-22226
11094,0.018 +/- 0.005,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-22229
11095,0.016 +/- 0.004,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-22229
11096,0.072 +/- 0.062,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-22229
11097,0.036 +/- 0.012,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-22229
11098,0.025 +/- 0.009,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-22229
11099,0.05 +/- 0.014,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-22229
11100,0.066 +/- 0.023,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-22229
11101,0.017 +/- 0.004,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-22229
11102,,,,Consuming polyphenols described by Phenol-Explorer entry 931,None,hmdb_metabolites-22233
11103,,,,Consuming polyphenols described by Phenol-Explorer entry 772,None,hmdb_metabolites-22234
11104,,,,Consuming polyphenols described by Phenol-Explorer entry 767,None,hmdb_metabolites-22240
11105,,,,Consuming polyphenols described by Phenol-Explorer entry 767,None,hmdb_metabolites-22240
11106,,,,Normal,None,hmdb_metabolites-22241
11107,,,,Normal,None,hmdb_metabolites-22242
11108,0.266 +/- 0.106,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-22249
11109,0.094 +/- 0.021,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-22249
11110,0.168 +/- 0.038,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-22249
11111,0.246 +/- 0.071,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-22249
11112,0.094 +/- 0.011,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-22249
11113,0.087 +/- 0.015,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-22249
11114,0.192 +/- 0.108,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-22249
11115,0.393 +/- 0.339,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-22249
11116,,,,Normal,None,hmdb_metabolites-22259
11117,,,,Normal,None,hmdb_metabolites-22271
11118,,,,Consuming polyphenols described by Phenol-Explorer entry 941,None,hmdb_metabolites-22272
11119,,,,Consuming polyphenols described by Phenol-Explorer entry 941,None,hmdb_metabolites-22272
11120,,,,Consuming polyphenols described by Phenol-Explorer entry 941,None,hmdb_metabolites-22272
11121,,,,Normal,None,hmdb_metabolites-22273
11122,,,,Consuming polyphenols described by Phenol-Explorer entry 940,None,hmdb_metabolites-22274
11123,,,,Normal,None,hmdb_metabolites-22275
11124,,,,Normal,None,hmdb_metabolites-22277
11125,,,,Normal,None,hmdb_metabolites-22279
11126,,,,Normal,None,hmdb_metabolites-22283
11127,,,,Normal,None,hmdb_metabolites-22284
11128,,,,Normal,None,hmdb_metabolites-22285
11129,,,,Normal,None,hmdb_metabolites-22286
11130,,,,Consuming polyphenols described by Phenol-Explorer entry 965,None,hmdb_metabolites-22287
11131,,,,Consuming polyphenols described by Phenol-Explorer entry 965,None,hmdb_metabolites-22287
11132,,,,Consuming polyphenols described by Phenol-Explorer entry 965,None,hmdb_metabolites-22287
11133,,,,Normal,None,hmdb_metabolites-22288
11134,,,,Consuming polyphenols described by Phenol-Explorer entry 967,None,hmdb_metabolites-22289
11135,,,,Consuming polyphenols described by Phenol-Explorer entry 962,None,hmdb_metabolites-22290
11136,,,,Consuming polyphenols described by Phenol-Explorer entry 962,None,hmdb_metabolites-22290
11137,,,,Consuming polyphenols described by Phenol-Explorer entry 962,None,hmdb_metabolites-22290
11138,,,,Consuming polyphenols described by Phenol-Explorer entry 768,None,hmdb_metabolites-22294
11139,,,,Consuming polyphenols described by Phenol-Explorer entry 768,None,hmdb_metabolites-22294
11140,,,,Consuming polyphenols described by Phenol-Explorer entry 768,None,hmdb_metabolites-22294
11141,,,,Consuming polyphenols described by Phenol-Explorer entry 768,None,hmdb_metabolites-22294
11142,,,,Normal,None,hmdb_metabolites-22295
11143,,,,Normal,None,hmdb_metabolites-22296
11144,,,,Normal,None,hmdb_metabolites-22297
11145,,,,Normal,None,hmdb_metabolites-22298
11146,,,,Normal,None,hmdb_metabolites-22299
11147,,,,Normal,None,hmdb_metabolites-22300
11148,,,,Normal,None,hmdb_metabolites-22301
11149,,,,Normal,None,hmdb_metabolites-22302
11150,,,,Normal,None,hmdb_metabolites-22303
11151,,,,Normal,None,hmdb_metabolites-22304
11152,,,,Consuming polyphenols described by Phenol-Explorer entry 874,None,hmdb_metabolites-22305
11153,,,,Normal,None,hmdb_metabolites-22306
11154,,,,Normal,None,hmdb_metabolites-22307
11155,,,,Normal,None,hmdb_metabolites-22308
11156,,,,Normal,None,hmdb_metabolites-22309
11157,,,,Normal,None,hmdb_metabolites-22310
11158,,,,Normal,None,hmdb_metabolites-22311
11159,,,,Normal,None,hmdb_metabolites-22312
11160,,,,Consuming polyphenols described by Phenol-Explorer entry 936,None,hmdb_metabolites-22313
11161,,,,Consuming polyphenols described by Phenol-Explorer entry 937,None,hmdb_metabolites-22314
11162,,,,Normal,None,hmdb_metabolites-22315
11163,,,,Consuming polyphenols described by Phenol-Explorer entry 822,None,hmdb_metabolites-22323
11164,,,,Consuming polyphenols described by Phenol-Explorer entry 822,None,hmdb_metabolites-22323
11165,,,,Normal,None,hmdb_metabolites-22325
11166,,,,Normal,None,hmdb_metabolites-22326
11167,,,,Normal,None,hmdb_metabolites-22327
11168,,,,Consuming polyphenols described by Phenol-Explorer entry 762,None,hmdb_metabolites-22334
11169,,,,Consuming polyphenols described by Phenol-Explorer entry 762,None,hmdb_metabolites-22334
11170,,,,Consuming polyphenols described by Phenol-Explorer entry 819,None,hmdb_metabolites-22335
11171,,,,Consuming polyphenols described by Phenol-Explorer entry 819,None,hmdb_metabolites-22335
11172,,,,Consuming polyphenols described by Phenol-Explorer entry 819,None,hmdb_metabolites-22335
11173,,,,Consuming polyphenols described by Phenol-Explorer entry 820,None,hmdb_metabolites-22336
11174,,,,Consuming polyphenols described by Phenol-Explorer entry 820,None,hmdb_metabolites-22336
11175,,,,Consuming polyphenols described by Phenol-Explorer entry 1003,None,hmdb_metabolites-22346
11176,,,,Consuming polyphenols described by Phenol-Explorer entry 1002,None,hmdb_metabolites-22347
11177,,,,Normal,None,hmdb_metabolites-22348
11178,,,,Normal,None,hmdb_metabolites-22349
11179,,,,Normal,None,hmdb_metabolites-22352
11180,,,,Normal,None,hmdb_metabolites-22353
11181,,,,Normal,None,hmdb_metabolites-22367
11182,,,,Normal,None,hmdb_metabolites-22373
11183,,,,Normal,None,hmdb_metabolites-22382
11184,,,,Normal,None,hmdb_metabolites-22383
11185,30.32 +/- 8.92,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-22383
11186,22-55,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-22386
11187,<40,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-22386
11188,,,,Normal,None,hmdb_metabolites-22393
11189,,,,Normal,None,hmdb_metabolites-22406
11190,,,,Normal,None,hmdb_metabolites-22411
11191,,,,Normal,None,hmdb_metabolites-22420
11192,,,,Normal,None,hmdb_metabolites-22440
11193,,,,Normal,None,hmdb_metabolites-22444
11194,,,,Normal,None,hmdb_metabolites-22461
11195,,,,Normal,None,hmdb_metabolites-22462
11196,,,,Normal,None,hmdb_metabolites-22482
11197,,,,Normal,None,hmdb_metabolites-22487
11198,0.000578,Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-22489
11199,0.000302 (0.000241-0.000362),Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-22491
11200,,,,Normal,None,hmdb_metabolites-22511
11201,,,,Normal,None,hmdb_metabolites-22532
11202,,,,Normal,None,hmdb_metabolites-22535
11203,0.00011 (0.00011-0.00014),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-39789
11204,0.00007 (0.00007-0.00010),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-39790
11205,0.00004 (0.00002-0.00004),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-39791
11206,0.02260(0.02000-0.02520),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-39792
11207,0.0194 (0.0169-0.0224),Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-39792
11208,0.0194 (0.0169-0.0224),Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-39792
11209,0.00753 (0.00686-0.00828),Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-39793
11210,0.00698(0.00657-0.00742),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-39793
11211,0.7 +/- 0.2,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-39847
11212,1.5 (0.0-1.5),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-39847
11213,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-39882
11214,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-39882
11215,,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-39882
11216,,,,Normal,None,hmdb_metabolites-39891
11217,,,,Normal,None,hmdb_metabolites-39912
11218,,,,Normal,None,hmdb_metabolites-39954
11219,0.00129 (0.00120-0.00138),Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-39957
11220,0.00111 (0.000989-0.00122),Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-39957
11221,0.26 +/- 0.16,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-39982
11222,0.000358 (0.000320-0.000414),Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-39998
11223,0.000301 (0.000264-0.000377),Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-39998
11224,0.000377 (0.000349-0.000405),Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-40050
11225,0.000301 (0.000283-0.000320),Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-40050
11226,,,,Normal,None,hmdb_metabolites-40056
11227,,,,Normal,None,hmdb_metabolites-40113
11228,,,,Normal,None,hmdb_metabolites-40114
11229,,,,Normal,None,hmdb_metabolites-40115
