,Value(uM),Subject Age,Subject Sex,Subject Information
9728,,,,Taking drug identified by DrugBank entry DB00419
9729,,,,Taking drug identified by DrugBank entry DB00420
9730,,,,Taking drug identified by DrugBank entry DB00421
9731,,,,Taking drug identified by DrugBank entry DB00422
9732,,,,Taking drug identified by DrugBank entry DB00423
9733,,,,Taking drug identified by DrugBank entry DB00424
9734,,,,Taking drug identified by DrugBank entry DB00426
9735,,,,Taking drug identified by DrugBank entry DB00427
9736,,,,Taking drug identified by DrugBank entry DB00428
9737,,,,Taking drug identified by DrugBank entry DB00429
9738,,,,Taking drug identified by DrugBank entry DB00430
9739,0.00105(0.00037-0.00179),Adult (>18 years old),Both,Normal
9740,,,,Taking drug identified by DrugBank entry DB00431
9741,,,,Taking drug identified by DrugBank entry DB00432
9742,,,,Taking drug identified by DrugBank entry DB00433
9743,,,,Taking drug identified by DrugBank entry DB00434
9744,,,,Taking drug identified by DrugBank entry DB00436
9745,,,,Taking drug identified by DrugBank entry DB00437
9746,,,,Taking drug identified by DrugBank entry DB00438
9747,,,,Taking drug identified by DrugBank entry DB00440
9748,,,,Taking drug identified by DrugBank entry DB00441
9749,,,,Taking drug identified by DrugBank entry DB00442
9750,,,,Taking drug identified by DrugBank entry DB00443
9751,,,,Taking drug identified by DrugBank entry DB00444
9752,,,,Taking drug identified by DrugBank entry DB00445
9753,,,,Taking drug identified by DrugBank entry DB00446
9754,,,,Taking drug identified by DrugBank entry DB00447
9755,,,,Taking drug identified by DrugBank entry DB00449
9756,,,,Taking drug identified by DrugBank entry DB00450
9757,,,,Taking drug identified by DrugBank entry DB00453
9758,,,,Taking drug identified by DrugBank entry DB00454
9759,,,,Taking drug identified by DrugBank entry DB00456
9760,,,,Taking drug identified by DrugBank entry DB00457
9761,,,,Taking drug identified by DrugBank entry DB00459
9762,,,,Taking drug identified by DrugBank entry DB00460
9763,,,,Taking drug identified by DrugBank entry DB00461
9764,,,,Taking drug identified by DrugBank entry DB00462
9765,,,,Taking drug identified by DrugBank entry DB00463
9766,,,,Taking drug identified by DrugBank entry DB00464
9767,,,,Taking drug identified by DrugBank entry DB00465
9768,,,,Taking drug identified by DrugBank entry DB00467
9769,,,,Taking drug identified by DrugBank entry DB00468
9770,,,,Taking drug identified by DrugBank entry DB00469
9771,,,,Taking drug identified by DrugBank entry DB00470
9772,,,,Taking drug identified by DrugBank entry DB00471
9773,,,,Taking drug identified by DrugBank entry DB00472
9774,,,,Taking drug identified by DrugBank entry DB00473
9775,,,,Taking drug identified by DrugBank entry DB00474
9776,,,,Taking drug identified by DrugBank entry DB00475
9777,,,,Taking drug identified by DrugBank entry DB00476
9778,,,,Taking drug identified by DrugBank entry DB00477
9779,,,,Taking drug identified by DrugBank entry DB00478
9780,,,,Taking drug identified by DrugBank entry DB00479
9781,,,,Taking drug identified by DrugBank entry DB00480
9782,,,,Taking drug identified by DrugBank entry DB00481
9783,,,,Taking drug identified by DrugBank entry DB00483
9784,,,,Taking drug identified by DrugBank entry DB00484
9785,,,,Taking drug identified by DrugBank entry DB00485
9786,,,,Taking drug identified by DrugBank entry DB00486
9787,,,,Taking drug identified by DrugBank entry DB00487
9788,,,,Taking drug identified by DrugBank entry DB00488
9789,,,,Taking drug identified by DrugBank entry DB00489
9790,,,,Taking drug identified by DrugBank entry DB00490
9791,,,,Taking drug identified by DrugBank entry DB00491
9792,,,,Taking drug identified by DrugBank entry DB00492
9793,,,,Taking drug identified by DrugBank entry DB00493
9794,,,,Taking drug identified by DrugBank entry DB00495
9795,,,,Taking drug identified by DrugBank entry DB00496
9796,,,,Taking drug identified by DrugBank entry DB00497
9797,,,,Taking drug identified by DrugBank entry DB00498
9798,,,,Taking drug identified by DrugBank entry DB00499
9799,,,,Taking drug identified by DrugBank entry DB00500
9800,,,,Taking drug identified by DrugBank entry DB00501
9801,,,,Taking drug identified by DrugBank entry DB00502
9802,,,,Taking drug identified by DrugBank entry DB00503
9803,,,,Taking drug identified by DrugBank entry DB00504
9804,,,,Taking drug identified by DrugBank entry DB00505
9805,,,,Taking drug identified by DrugBank entry DB00507
9806,,,,Taking drug identified by DrugBank entry DB00508
9807,,,,Taking drug identified by DrugBank entry DB00509
9808,,,,Taking drug identified by DrugBank entry DB00511
9809,,,,Taking drug identified by DrugBank entry DB00512
9810,,,,Taking drug identified by DrugBank entry DB00515
9811,,,,Taking drug identified by DrugBank entry DB00518
9812,,,,Taking drug identified by DrugBank entry DB00519
9813,,,,Taking drug identified by DrugBank entry DB00520
9814,,,,Taking drug identified by DrugBank entry DB00521
9815,,,,Taking drug identified by DrugBank entry DB00522
9816,,,,Taking drug identified by DrugBank entry DB00524
9817,,,,Taking drug identified by DrugBank entry DB00526
9818,,,,Taking drug identified by DrugBank entry DB00527
9819,,,,Taking drug identified by DrugBank entry DB00528
9820,,,,Taking drug identified by DrugBank entry DB00529
9821,,,,Taking drug identified by DrugBank entry DB00530
9822,,,,Taking drug identified by DrugBank entry DB00531
9823,,,,Taking drug identified by DrugBank entry DB00532
9824,,,,Taking drug identified by DrugBank entry DB00534
9825,,,,Taking drug identified by DrugBank entry DB00535
9826,,,,Taking drug identified by DrugBank entry DB00537
9827,,,,Taking drug identified by DrugBank entry DB00539
9828,,,,Taking drug identified by DrugBank entry DB00540
9829,,,,Taking drug identified by DrugBank entry DB00541
9830,,,,Taking drug identified by DrugBank entry DB00542
9831,,,,Taking drug identified by DrugBank entry DB00543
9832,,,,Taking drug identified by DrugBank entry DB00544
9833,,,,Taking drug identified by DrugBank entry DB00545
9834,,,,Taking drug identified by DrugBank entry DB00546
9835,,,,Taking drug identified by DrugBank entry DB00547
9836,,,,Taking drug identified by DrugBank entry DB00549
9837,,,,Taking drug identified by DrugBank entry DB00550
9838,,,,Taking drug identified by DrugBank entry DB00551
9839,,,,Taking drug identified by DrugBank entry DB00552
9840,,,,Taking drug identified by DrugBank entry DB00553
9841,,,,Taking drug identified by DrugBank entry DB00554
9842,,,,Taking drug identified by DrugBank entry DB00555
9843,,,,Taking drug identified by DrugBank entry DB00556
9844,,,,Taking drug identified by DrugBank entry DB00557
9845,,,,Taking drug identified by DrugBank entry DB00558
9846,,,,Taking drug identified by DrugBank entry DB00559
9847,,,,Taking drug identified by DrugBank entry DB00560
9848,,,,Taking drug identified by DrugBank entry DB00561
9849,,,,Taking drug identified by DrugBank entry DB00562
9850,,,,Taking drug identified by DrugBank entry DB00563
9851,,,,Taking drug identified by DrugBank entry DB00564
9852,,,,Taking drug identified by DrugBank entry DB00566
9853,,,,Taking drug identified by DrugBank entry DB00567
9854,,,,Taking drug identified by DrugBank entry DB00568
9855,,,,Taking drug identified by DrugBank entry DB00569
9856,,,,Taking drug identified by DrugBank entry DB00570
9857,,,,Taking drug identified by DrugBank entry DB00572
9858,,,,Taking drug identified by DrugBank entry DB00573
9859,,,,Taking drug identified by DrugBank entry DB00575
9860,,,,Taking drug identified by DrugBank entry DB00576
9861,,,,Taking drug identified by DrugBank entry DB00577
9862,,,,Taking drug identified by DrugBank entry DB00578
9863,,,,Taking drug identified by DrugBank entry DB00579
9864,,,,Taking drug identified by DrugBank entry DB00582
9865,,,,Taking drug identified by DrugBank entry DB00584
9866,,,,Taking drug identified by DrugBank entry DB00585
9867,,,,Taking drug identified by DrugBank entry DB00586
9868,,,,Taking drug identified by DrugBank entry DB00587
9869,,,,Taking drug identified by DrugBank entry DB00589
9870,,,,Taking drug identified by DrugBank entry DB00590
9871,,,,Taking drug identified by DrugBank entry DB00591
9872,,,,Taking drug identified by DrugBank entry DB00592
9873,,,,Taking drug identified by DrugBank entry DB00593
9874,,,,Taking drug identified by DrugBank entry DB00594
9875,,,,Taking drug identified by DrugBank entry DB00595
9876,,,,Taking drug identified by DrugBank entry DB00596
9877,,,,Taking drug identified by DrugBank entry DB00597
9878,,,,Taking drug identified by DrugBank entry DB00598
9879,,,,Taking drug identified by DrugBank entry DB00599
9880,,,,Taking drug identified by DrugBank entry DB00600
9881,,,,Taking drug identified by DrugBank entry DB00601
9882,,,,Taking drug identified by DrugBank entry DB00604
9883,,,,Taking drug identified by DrugBank entry DB00605
9884,,,,Taking drug identified by DrugBank entry DB00606
9885,,,,Taking drug identified by DrugBank entry DB00607
9886,,,,Taking drug identified by DrugBank entry DB00608
9887,,,,Taking drug identified by DrugBank entry DB00609
9888,,,,Taking drug identified by DrugBank entry DB00610
9889,,,,Taking drug identified by DrugBank entry DB00611
9890,,,,Taking drug identified by DrugBank entry DB00612
9891,,,,Taking drug identified by DrugBank entry DB00613
9892,,,,Taking drug identified by DrugBank entry DB00614
9893,,,,Taking drug identified by DrugBank entry DB00615
9894,,,,Taking drug identified by DrugBank entry DB00616
9895,,,,Taking drug identified by DrugBank entry DB00617
9896,,,,Taking drug identified by DrugBank entry DB00618
9897,,,,Taking drug identified by DrugBank entry DB00619
9898,,,,Taking drug identified by DrugBank entry DB00620
9899,,,,Taking drug identified by DrugBank entry DB00621
9900,,,,Taking drug identified by DrugBank entry DB00622
9901,,,,Taking drug identified by DrugBank entry DB00623
9902,,,,Taking drug identified by DrugBank entry DB00625
9903,,,,Taking drug identified by DrugBank entry DB00626
9904,,,,Taking drug identified by DrugBank entry DB00628
9905,,,,Taking drug identified by DrugBank entry DB00629
9906,,,,Taking drug identified by DrugBank entry DB00631
9907,,,,Taking drug identified by DrugBank entry DB00632
9908,,,,Taking drug identified by DrugBank entry DB00633
9909,,,,Taking drug identified by DrugBank entry DB00634
9910,,,,Taking drug identified by DrugBank entry DB00635
9911,,,,Taking drug identified by DrugBank entry DB00636
9912,,,,Taking drug identified by DrugBank entry DB00637
9913,,,,Taking drug identified by DrugBank entry DB00638
9914,,,,Taking drug identified by DrugBank entry DB00639
9915,,,,Taking drug identified by DrugBank entry DB00642
9916,,,,Taking drug identified by DrugBank entry DB00643
9917,,,,Taking drug identified by DrugBank entry DB00644
9918,,,,Taking drug identified by DrugBank entry DB00645
9919,,,,Taking drug identified by DrugBank entry DB00646
9920,,,,Taking drug identified by DrugBank entry DB00647
9921,,,,Taking drug identified by DrugBank entry DB00648
9922,,,,Taking drug identified by DrugBank entry DB00649
9923,,,,Taking drug identified by DrugBank entry DB00651
9924,,,,Taking drug identified by DrugBank entry DB00652
9925,,,,Taking drug identified by DrugBank entry DB00654
9926,,,,Taking drug identified by DrugBank entry DB00656
9927,,,,Taking drug identified by DrugBank entry DB00657
9928,,,,Taking drug identified by DrugBank entry DB00659
9929,,,,Taking drug identified by DrugBank entry DB00660
9930,,,,Taking drug identified by DrugBank entry DB00662
9931,,,,Taking drug identified by DrugBank entry DB00663
9932,,,,Taking drug identified by DrugBank entry DB00664
9933,,,,Taking drug identified by DrugBank entry DB00665
9934,,,,Taking drug identified by DrugBank entry DB00666
9935,,,,Taking drug identified by DrugBank entry DB00670
9936,,,,Taking drug identified by DrugBank entry DB00671
9937,,,,Taking drug identified by DrugBank entry DB00672
9938,,,,Taking drug identified by DrugBank entry DB00673
9939,,,,Taking drug identified by DrugBank entry DB00674
9940,,,,Taking drug identified by DrugBank entry DB00675
9941,,,,Taking drug identified by DrugBank entry DB00676
9942,,,,Taking drug identified by DrugBank entry DB00677
9943,,,,Taking drug identified by DrugBank entry DB00678
9944,,,,Taking drug identified by DrugBank entry DB00679
9945,,,,Taking drug identified by DrugBank entry DB00680
9946,,,,Taking drug identified by DrugBank entry DB00681
9947,,,,Taking drug identified by DrugBank entry DB00683
9948,,,,Taking drug identified by DrugBank entry DB00684
9949,,,,Taking drug identified by DrugBank entry DB00685
9950,,,,Taking drug identified by DrugBank entry DB00686
9951,,,,Taking drug identified by DrugBank entry DB00687
9952,,,,Taking drug identified by DrugBank entry DB00688
9953,,,,Taking drug identified by DrugBank entry DB00689
9954,,,,Taking drug identified by DrugBank entry DB00690
9955,,,,Taking drug identified by DrugBank entry DB00691
9956,,,,Taking drug identified by DrugBank entry DB00692
9957,,,,Taking drug identified by DrugBank entry DB00693
9958,,,,Taking drug identified by DrugBank entry DB00694
9959,,,,Taking drug identified by DrugBank entry DB00696
9960,,,,Taking drug identified by DrugBank entry DB00697
9961,,,,Taking drug identified by DrugBank entry DB00698
9962,,,,Taking drug identified by DrugBank entry DB00699
9963,,,,Taking drug identified by DrugBank entry DB00700
9964,,,,Taking drug identified by DrugBank entry DB00701
9965,,,,Taking drug identified by DrugBank entry DB00703
9966,,,,Taking drug identified by DrugBank entry DB00704
9967,,,,Taking drug identified by DrugBank entry DB00705
9968,,,,Taking drug identified by DrugBank entry DB00706
9969,,,,Taking drug identified by DrugBank entry DB00707
9970,,,,Taking drug identified by DrugBank entry DB00708
9971,,,,Taking drug identified by DrugBank entry DB00709
9972,,,,Taking drug identified by DrugBank entry DB00710
9973,,,,Taking drug identified by DrugBank entry DB00711
9974,,,,Taking drug identified by DrugBank entry DB00712
9975,,,,Taking drug identified by DrugBank entry DB00713
9976,,,,Taking drug identified by DrugBank entry DB00714
9977,,,,Taking drug identified by DrugBank entry DB00715
9978,,,,Taking drug identified by DrugBank entry DB00716
9979,,,,Taking drug identified by DrugBank entry DB00717
9980,,,,Taking drug identified by DrugBank entry DB00718
9981,,,,Taking drug identified by DrugBank entry DB00719
9982,,,,Taking drug identified by DrugBank entry DB00720
9983,,,,Taking drug identified by DrugBank entry DB00721
9984,,,,Normal
9985,,,,Taking drug identified by DrugBank entry DB00723
9986,,,,Taking drug identified by DrugBank entry DB00724
9987,,,,Taking drug identified by DrugBank entry DB00726
9988,,,,Taking drug identified by DrugBank entry DB00727
9989,,,,Taking drug identified by DrugBank entry DB00728
9990,,,,Taking drug identified by DrugBank entry DB00730
9991,,,,Taking drug identified by DrugBank entry DB00731
9992,,,,Taking drug identified by DrugBank entry DB00732
9993,,,,Taking drug identified by DrugBank entry DB00733
9994,,,,Taking drug identified by DrugBank entry DB00735
9995,,,,Taking drug identified by DrugBank entry DB00737
9996,,,,Taking drug identified by DrugBank entry DB00738
9997,,,,Taking drug identified by DrugBank entry DB00739
9998,,,,Taking drug identified by DrugBank entry DB00740
9999,,,,Taking drug identified by DrugBank entry DB00744
10000,,,,Taking drug identified by DrugBank entry DB00745
10001,,,,Taking drug identified by DrugBank entry DB00746
10002,,,,Taking drug identified by DrugBank entry DB00748
10003,,,,Taking drug identified by DrugBank entry DB00749
10004,,,,Taking drug identified by DrugBank entry DB00750
10005,,,,Taking drug identified by DrugBank entry DB00751
10006,,,,Taking drug identified by DrugBank entry DB00752
10007,,,,Taking drug identified by DrugBank entry DB00753
10008,,,,Taking drug identified by DrugBank entry DB00754
10009,,,,Taking drug identified by DrugBank entry DB00756
10010,,,,Taking drug identified by DrugBank entry DB00757
10011,,,,Taking drug identified by DrugBank entry DB00759
10012,,,,Taking drug identified by DrugBank entry DB00760
10013,,,,Taking drug identified by DrugBank entry DB00762
10014,,,,Taking drug identified by DrugBank entry DB00763
10015,,,,Taking drug identified by DrugBank entry DB00764
10016,,,,Taking drug identified by DrugBank entry DB00765
10017,,,,Taking drug identified by DrugBank entry DB00766
10018,,,,Taking drug identified by DrugBank entry DB00767
10019,,,,Taking drug identified by DrugBank entry DB00768
10020,,,,Taking drug identified by DrugBank entry DB00769
10021,,,,Taking drug identified by DrugBank entry DB00771
10022,,,,Taking drug identified by DrugBank entry DB00772
10023,,,,Taking drug identified by DrugBank entry DB00773
10024,,,,Taking drug identified by DrugBank entry DB00774
10025,,,,Taking drug identified by DrugBank entry DB00775
10026,,,,Taking drug identified by DrugBank entry DB00776
10027,,,,Taking drug identified by DrugBank entry DB00777
10028,,,,Taking drug identified by DrugBank entry DB00778
10029,,,,Taking drug identified by DrugBank entry DB00779
10030,,,,Taking drug identified by DrugBank entry DB00780
10031,,,,Taking drug identified by DrugBank entry DB00781
10032,,,,Taking drug identified by DrugBank entry DB00782
10033,,,,Taking drug identified by DrugBank entry DB00784
10034,,,,Taking drug identified by DrugBank entry DB00786
10035,,,,Taking drug identified by DrugBank entry DB00787
10036,,,,Taking drug identified by DrugBank entry DB00790
10037,,,,Taking drug identified by DrugBank entry DB00791
10038,,,,Taking drug identified by DrugBank entry DB00792
10039,,,,Taking drug identified by DrugBank entry DB00793
10040,,,,Taking drug identified by DrugBank entry DB00794
10041,,,,Taking drug identified by DrugBank entry DB00795
10042,,,,Taking drug identified by DrugBank entry DB00796
10043,,,,Taking drug identified by DrugBank entry DB00797
10044,,,,Taking drug identified by DrugBank entry DB00798
10045,,,,Taking drug identified by DrugBank entry DB00799
10046,,,,Taking drug identified by DrugBank entry DB00800
10047,,,,Taking drug identified by DrugBank entry DB00801
10048,,,,Taking drug identified by DrugBank entry DB00802
10049,,,,Taking drug identified by DrugBank entry DB00803
10050,,,,Taking drug identified by DrugBank entry DB00804
10051,,,,Taking drug identified by DrugBank entry DB00805
10052,,,,Taking drug identified by DrugBank entry DB00806
10053,,,,Taking drug identified by DrugBank entry DB00807
10054,,,,Taking drug identified by DrugBank entry DB00808
10055,,,,Taking drug identified by DrugBank entry DB00809
10056,,,,Taking drug identified by DrugBank entry DB00810
10057,,,,Taking drug identified by DrugBank entry DB00811
10058,,,,Taking drug identified by DrugBank entry DB00812
10059,,,,Taking drug identified by DrugBank entry DB00813
10060,,,,Taking drug identified by DrugBank entry DB00814
10061,,,,Taking drug identified by DrugBank entry DB00816
10062,,,,Taking drug identified by DrugBank entry DB00817
10063,,,,Taking drug identified by DrugBank entry DB00818
10064,,,,Taking drug identified by DrugBank entry DB00819
10065,,,,Taking drug identified by DrugBank entry DB00820
10066,,,,Taking drug identified by DrugBank entry DB00821
10067,,,,Taking drug identified by DrugBank entry DB00822
10068,,,,Taking drug identified by DrugBank entry DB00823
10069,,,,Taking drug identified by DrugBank entry DB00824
10070,,,,Taking drug identified by DrugBank entry DB00826
10071,,,,Taking drug identified by DrugBank entry DB00827
10072,,,,Taking drug identified by DrugBank entry DB00828
10073,,,,Taking drug identified by DrugBank entry DB00829
10074,,,,Taking drug identified by DrugBank entry DB00830
10075,,,,Taking drug identified by DrugBank entry DB00831
10076,,,,Taking drug identified by DrugBank entry DB00832
10077,,,,Taking drug identified by DrugBank entry DB00833
10078,,,,Taking drug identified by DrugBank entry DB00834
10079,,,,Taking drug identified by DrugBank entry DB00837
10080,,,,Taking drug identified by DrugBank entry DB00838
10081,,,,Taking drug identified by DrugBank entry DB00839
10082,,,,Taking drug identified by DrugBank entry DB00841
10083,,,,Taking drug identified by DrugBank entry DB00842
10084,,,,Taking drug identified by DrugBank entry DB00844
10085,,,,Taking drug identified by DrugBank entry DB00845
10086,,,,Taking drug identified by DrugBank entry DB00846
10087,,,,Taking drug identified by DrugBank entry DB00848
10088,,,,Taking drug identified by DrugBank entry DB00849
10089,,,,Taking drug identified by DrugBank entry DB00850
10090,,,,Taking drug identified by DrugBank entry DB00851
10091,,,,Taking drug identified by DrugBank entry DB00853
10092,,,,Taking drug identified by DrugBank entry DB00854
10093,,,,Taking drug identified by DrugBank entry DB00856
10094,,,,Taking drug identified by DrugBank entry DB00857
10095,,,,Taking drug identified by DrugBank entry DB00858
10096,,,,Taking drug identified by DrugBank entry DB00859
10097,,,,Taking drug identified by DrugBank entry DB00860
10098,,,,Taking drug identified by DrugBank entry DB00861
10099,,,,Taking drug identified by DrugBank entry DB00862
10100,,,,Taking drug identified by DrugBank entry DB00864
10101,,,,Taking drug identified by DrugBank entry DB00865
10102,,,,Taking drug identified by DrugBank entry DB00866
10103,,,,Taking drug identified by DrugBank entry DB00867
10104,,,,Taking drug identified by DrugBank entry DB00868
10105,,,,Taking drug identified by DrugBank entry DB00869
10106,,,,Taking drug identified by DrugBank entry DB00870
10107,,,,Taking drug identified by DrugBank entry DB00871
10108,,,,Taking drug identified by DrugBank entry DB00872
10109,,,,Taking drug identified by DrugBank entry DB00873
10110,,,,Taking drug identified by DrugBank entry DB00875
10111,,,,Taking drug identified by DrugBank entry DB00876
10112,,,,Taking drug identified by DrugBank entry DB00877
10113,,,,Taking drug identified by DrugBank entry DB00878
10114,,,,Taking drug identified by DrugBank entry DB00879
10115,,,,Taking drug identified by DrugBank entry DB00880
10116,,,,Taking drug identified by DrugBank entry DB00881
10117,,,,Taking drug identified by DrugBank entry DB00882
10118,,,,Taking drug identified by DrugBank entry DB00883
10119,,,,Taking drug identified by DrugBank entry DB00884
10120,,,,Taking drug identified by DrugBank entry DB00885
10121,,,,Taking drug identified by DrugBank entry DB00887
10122,,,,Taking drug identified by DrugBank entry DB00888
10123,,,,Taking drug identified by DrugBank entry DB00889
10124,,,,Taking drug identified by DrugBank entry DB00890
10125,,,,Taking drug identified by DrugBank entry DB00891
10126,,,,Taking drug identified by DrugBank entry DB00892
10127,,,,Taking drug identified by DrugBank entry DB00894
10128,,,,Taking drug identified by DrugBank entry DB00896
10129,,,,Taking drug identified by DrugBank entry DB00897
10130,,,,Taking drug identified by DrugBank entry DB00899
10131,,,,Taking drug identified by DrugBank entry DB00900
10132,,,,Taking drug identified by DrugBank entry DB00902
10133,,,,Taking drug identified by DrugBank entry DB00903
10134,,,,Taking drug identified by DrugBank entry DB00905
10135,,,,Taking drug identified by DrugBank entry DB00906
10136,,,,Taking drug identified by DrugBank entry DB00907
10137,,,,Taking drug identified by DrugBank entry DB00908
10138,,,,Taking drug identified by DrugBank entry DB00909
10139,,,,Taking drug identified by DrugBank entry DB00910
10140,,,,Taking drug identified by DrugBank entry DB00911
10141,,,,Taking drug identified by DrugBank entry DB00912
10142,,,,Taking drug identified by DrugBank entry DB00913
10143,,,,Taking drug identified by DrugBank entry DB00914
10144,,,,Taking drug identified by DrugBank entry DB00915
10145,,,,Taking drug identified by DrugBank entry DB00916
10146,,,,Taking drug identified by DrugBank entry DB00918
10147,,,,Taking drug identified by DrugBank entry DB00919
10148,,,,Taking drug identified by DrugBank entry DB00920
10149,,,,Taking drug identified by DrugBank entry DB00921
10150,,,,Taking drug identified by DrugBank entry DB00922
10151,,,,Taking drug identified by DrugBank entry DB00923
10152,,,,Taking drug identified by DrugBank entry DB00924
10153,,,,Taking drug identified by DrugBank entry DB00925
10154,,,,Taking drug identified by DrugBank entry DB00928
10155,,,,Taking drug identified by DrugBank entry DB00929
10156,,,,Taking drug identified by DrugBank entry DB00931
10157,,,,Taking drug identified by DrugBank entry DB00932
10158,,,,Taking drug identified by DrugBank entry DB00933
10159,,,,Taking drug identified by DrugBank entry DB00934
10160,,,,Taking drug identified by DrugBank entry DB00935
10161,,,,Taking drug identified by DrugBank entry DB00937
10162,,,,Taking drug identified by DrugBank entry DB00938
10163,,,,Taking drug identified by DrugBank entry DB00939
10164,,,,Taking drug identified by DrugBank entry DB00940
10165,,,,Taking drug identified by DrugBank entry DB00942
10166,,,,Taking drug identified by DrugBank entry DB00943
10167,,,,Taking drug identified by DrugBank entry DB00944
10168,,,,Taking drug identified by DrugBank entry DB00946
10169,,,,Taking drug identified by DrugBank entry DB00947
10170,,,,Taking drug identified by DrugBank entry DB00948
10171,,,,Taking drug identified by DrugBank entry DB00949
10172,,,,Taking drug identified by DrugBank entry DB00951
10173,,,,Taking drug identified by DrugBank entry DB00952
10174,,,,Taking drug identified by DrugBank entry DB00953
10175,,,,Taking drug identified by DrugBank entry DB00954
10176,,,,Taking drug identified by DrugBank entry DB00955
10177,,,,Taking drug identified by DrugBank entry DB00956
10178,,,,Taking drug identified by DrugBank entry DB00957
10179,,,,Taking drug identified by DrugBank entry DB00958
10180,,,,Taking drug identified by DrugBank entry DB00959
10181,,,,Taking drug identified by DrugBank entry DB00960
10182,,,,Taking drug identified by DrugBank entry DB00961
10183,,,,Taking drug identified by DrugBank entry DB00962
10184,,,,Taking drug identified by DrugBank entry DB00963
10185,,,,Taking drug identified by DrugBank entry DB00964
10186,,,,Taking drug identified by DrugBank entry DB00966
10187,,,,Taking drug identified by DrugBank entry DB00967
10188,,,,Taking drug identified by DrugBank entry DB00969
10189,,,,Taking drug identified by DrugBank entry DB00970
10190,,,,Taking drug identified by DrugBank entry DB00971
10191,,,,Taking drug identified by DrugBank entry DB00972
10192,,,,Taking drug identified by DrugBank entry DB00973
10193,,,,Taking drug identified by DrugBank entry DB00974
10194,,,,Taking drug identified by DrugBank entry DB00975
10195,,,,Taking drug identified by DrugBank entry DB00976
10196,,,,Taking drug identified by DrugBank entry DB00978
10197,,,,Taking drug identified by DrugBank entry DB00979
10198,,,,Taking drug identified by DrugBank entry DB00980
10199,,,,Taking drug identified by DrugBank entry DB00981
10200,,,,Taking drug identified by DrugBank entry DB00983
10201,,,,Taking drug identified by DrugBank entry DB00984
10202,,,,Taking drug identified by DrugBank entry DB00986
10203,,,,Taking drug identified by DrugBank entry DB00987
10204,,,,Taking drug identified by DrugBank entry DB00989
10205,,,,Taking drug identified by DrugBank entry DB00990
10206,,,,Taking drug identified by DrugBank entry DB00991
10207,,,,Taking drug identified by DrugBank entry DB00992
10208,,,,Taking drug identified by DrugBank entry DB00993
10209,,,,Taking drug identified by DrugBank entry DB00994
10210,,,,Taking drug identified by DrugBank entry DB00995
10211,,,,Taking drug identified by DrugBank entry DB00997
10212,,,,Taking drug identified by DrugBank entry DB00998
10213,,,,Taking drug identified by DrugBank entry DB01000
10214,,,,Taking drug identified by DrugBank entry DB01002
10215,,,,Taking drug identified by DrugBank entry DB01003
10216,,,,Taking drug identified by DrugBank entry DB01004
10217,,,,Taking drug identified by DrugBank entry DB01005
10218,,,,Taking drug identified by DrugBank entry DB01006
10219,,,,Taking drug identified by DrugBank entry DB01007
10220,,,,Taking drug identified by DrugBank entry DB01008
10221,,,,Taking drug identified by DrugBank entry DB01009
10222,,,,Taking drug identified by DrugBank entry DB01010
10223,,,,Taking drug identified by DrugBank entry DB01011
10224,,,,Taking drug identified by DrugBank entry DB01012
10225,,,,Taking drug identified by DrugBank entry DB01013
10226,,,,Taking drug identified by DrugBank entry DB01014
10227,,,,Taking drug identified by DrugBank entry DB01015
10228,,,,Taking drug identified by DrugBank entry DB01016
10229,,,,Taking drug identified by DrugBank entry DB01017
10230,,,,Taking drug identified by DrugBank entry DB01018
10231,,,,Taking drug identified by DrugBank entry DB01019
10232,,,,Taking drug identified by DrugBank entry DB01020
10233,,,,Taking drug identified by DrugBank entry DB01021
10234,,,,Taking drug identified by DrugBank entry DB01023
10235,,,,Taking drug identified by DrugBank entry DB01024
10236,,,,Taking drug identified by DrugBank entry DB01025
10237,,,,Taking drug identified by DrugBank entry DB01028
10238,,,,Taking drug identified by DrugBank entry DB01029
10239,,,,Taking drug identified by DrugBank entry DB01030
10240,,,,Taking drug identified by DrugBank entry DB01031
10241,,,,Taking drug identified by DrugBank entry DB01032
10242,,,,Taking drug identified by DrugBank entry DB01033
10243,,,,Taking drug identified by DrugBank entry DB01034
10244,,,,Taking drug identified by DrugBank entry DB01035
10245,,,,Taking drug identified by DrugBank entry DB01036
10246,,,,Taking drug identified by DrugBank entry DB01037
10247,,,,Taking drug identified by DrugBank entry DB01038
10248,,,,Taking drug identified by DrugBank entry DB01039
10249,,,,Taking drug identified by DrugBank entry DB01041
10250,,,,Taking drug identified by DrugBank entry DB01042
10251,,,,Taking drug identified by DrugBank entry DB01043
10252,,,,Taking drug identified by DrugBank entry DB01044
10253,,,,Taking drug identified by DrugBank entry DB01045
10254,,,,Taking drug identified by DrugBank entry DB01046
10255,,,,Taking drug identified by DrugBank entry DB01047
10256,,,,Taking drug identified by DrugBank entry DB01048
10257,,,,Taking drug identified by DrugBank entry DB01051
10258,,,,Taking drug identified by DrugBank entry DB01053
10259,,,,Taking drug identified by DrugBank entry DB01054
10260,,,,Taking drug identified by DrugBank entry DB01055
10261,,,,Taking drug identified by DrugBank entry DB01056
10262,,,,Taking drug identified by DrugBank entry DB01057
10263,,,,Taking drug identified by DrugBank entry DB01058
10264,,,,Taking drug identified by DrugBank entry DB01059
