,Value(uM),Patient Age,Patient Sex,Patient Information,Comment,File
22375,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67351
22376,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67352
22377,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67353
22378,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67354
22379,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67355
22380,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67356
22381,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67357
22382,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67358
22383,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67359
22384,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67360
22385,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67361
22386,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67362
22387,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67363
22388,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67364
22389,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67365
22390,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67366
22391,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67367
22392,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67368
22393,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67369
22394,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67370
22395,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67371
22396,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67372
22397,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67373
22398,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67374
22399,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67375
22400,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67376
22401,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67377
22402,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67378
22403,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67379
22404,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67380
22405,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67381
22406,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67382
22407,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67383
22408,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67384
22409,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67385
22410,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67386
22411,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67387
22412,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67388
22413,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67389
22414,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67390
22415,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67391
22416,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67392
22417,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67393
22418,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67394
22419,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67395
22420,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67396
22421,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67397
22422,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67398
22423,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67399
22424,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67400
22425,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67401
22426,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67402
22427,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67403
22428,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67404
22429,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67405
22430,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67406
22431,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67407
22432,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67408
22433,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67409
22434,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67410
22435,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67411
22436,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67412
22437,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67413
22438,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67414
22439,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67415
22440,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67416
22441,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67417
22442,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67418
22443,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67419
22444,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67420
22445,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67421
22446,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67422
22447,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67423
22448,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67424
22449,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67425
22450,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67426
22451,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67427
22452,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67428
22453,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67429
22454,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67430
22455,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67431
22456,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67432
22457,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67433
22458,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67434
22459,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67435
22460,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67436
22461,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67437
22462,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67438
22463,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67439
22464,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67440
22465,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67441
22466,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67442
22467,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67443
22468,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67444
22469,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67445
22470,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67446
22471,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67447
22472,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67448
22473,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67449
22474,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67450
22475,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67451
22476,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67452
22477,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67453
22478,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67454
22479,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67455
22480,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67456
22481,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67457
22482,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67458
22483,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67459
22484,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67460
22485,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67461
22486,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67462
22487,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67463
22488,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67464
22489,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67465
22490,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67466
22491,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67467
22492,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67468
22493,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67469
22494,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67470
22495,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67471
22496,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67472
22497,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67473
22498,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67474
22499,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67475
22500,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67476
22501,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67477
22502,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67478
22503,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67479
22504,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67480
22505,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67481
22506,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67482
22507,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67483
22508,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67484
22509,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67485
22510,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67486
22511,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67487
22512,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67488
22513,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67489
22514,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67490
22515,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67491
22516,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67492
22517,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67493
22518,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67494
22519,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67495
22520,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67496
22521,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67497
22522,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67498
22523,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67499
22524,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67500
22525,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67501
22526,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67502
22527,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67503
22528,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67504
22529,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67505
22530,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67506
22531,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67507
22532,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67508
22533,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67509
22534,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67510
22535,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67511
22536,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67512
22537,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67513
22538,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67514
22539,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67515
22540,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67516
22541,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67517
22542,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67518
22543,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67519
22544,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67520
22545,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67521
22546,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67522
22547,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67523
22548,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67524
22549,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67525
22550,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67526
22551,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67527
22552,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67528
22553,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67529
22554,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67530
22555,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67531
22556,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67532
22557,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67533
22558,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67534
22559,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67535
22560,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67536
22561,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67537
22562,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67538
22563,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67539
22564,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67540
22565,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67541
22566,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67542
22567,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67543
22568,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67544
22569,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67545
22570,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67546
22571,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67547
22572,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67548
22573,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67549
22574,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67550
22575,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67551
22576,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67552
22577,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67553
22578,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67554
22579,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67555
22580,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67556
22581,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67557
22582,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67558
22583,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67559
22584,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67560
22585,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67561
22586,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67562
22587,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67563
22588,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67564
22589,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67565
22590,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67566
22591,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67567
22592,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67568
22593,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67569
22594,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67570
22595,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67571
22596,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67572
22597,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67573
22598,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67574
22599,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67575
22600,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67576
22601,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67577
22602,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67578
22603,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67579
22604,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67580
22605,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67581
22606,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67582
22607,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67583
22608,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67584
22609,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67585
22610,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67586
22611,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67587
22612,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67588
22613,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67589
22614,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67590
22615,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67591
22616,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67592
22617,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67593
22618,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67594
22619,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67595
22620,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67596
22621,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67597
22622,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67598
22623,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67599
22624,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67600
22625,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67601
22626,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67602
22627,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67603
22628,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67604
22629,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67605
22630,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67606
22631,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67607
22632,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67608
22633,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67609
22634,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67610
22635,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67611
22636,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67612
22637,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67613
22638,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67614
22639,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67615
22640,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67616
22641,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67617
22642,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67618
22643,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67619
22644,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67620
22645,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67621
22646,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67622
22647,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67623
22648,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67624
22649,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67625
22650,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67626
22651,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67627
22652,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67628
22653,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67629
22654,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67630
22655,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67631
22656,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67632
22657,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67633
22658,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67634
22659,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67635
22660,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67636
22661,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67637
22662,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67638
22663,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67639
22664,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67640
22665,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67641
22666,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67642
22667,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67643
22668,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67644
22669,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67645
22670,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67646
22671,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67647
22672,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67648
22673,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67649
22674,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67650
22675,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67651
22676,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67652
22677,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67653
22678,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67654
22679,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67655
22680,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67656
22681,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67657
22682,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67658
22683,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67659
22684,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67660
22685,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67661
22686,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67662
22687,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67663
22688,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67664
22689,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67665
22690,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67666
22691,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67667
22692,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67668
22693,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67669
22694,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67670
22695,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67671
22696,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67672
22697,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67673
22698,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67674
22699,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67675
22700,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67676
22701,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67677
22702,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67678
22703,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67679
22704,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67680
22705,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67681
22706,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67682
22707,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67683
22708,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67684
22709,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67685
22710,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67686
22711,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67687
22712,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67688
22713,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67689
22714,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67690
