,Value(uM),Patient Age,Patient Sex,Patient Information,Comment
21834,,Children (1-13 years old),Both,Barth Syndrome,None
21835,,Children (1-13 years old),Both,Barth Syndrome,None
21836,,Children (1-13 years old),Both,Barth Syndrome,None
21837,,Children (1-13 years old),Both,Barth Syndrome,None
21838,,Children (1-13 years old),Both,Barth Syndrome,None
21839,,Children (1-13 years old),Both,Barth Syndrome,None
21840,,Children (1-13 years old),Both,Barth Syndrome,None
21841,,Children (1-13 years old),Both,Barth Syndrome,None
21842,,Children (1-13 years old),Both,Barth Syndrome,None
21843,,Children (1-13 years old),Both,Barth Syndrome,None
21844,,Children (1-13 years old),Both,Barth Syndrome,None
21845,,Children (1-13 years old),Both,Barth Syndrome,None
21846,,Children (1-13 years old),Both,Barth Syndrome,None
21847,,Children (1-13 years old),Both,Barth Syndrome,None
21848,,Children (1-13 years old),Both,Barth Syndrome,None
21849,,Children (1-13 years old),Both,Barth Syndrome,None
21850,,Children (1-13 years old),Both,Barth Syndrome,None
21851,,Children (1-13 years old),Both,Barth Syndrome,None
21852,,Children (1-13 years old),Both,Barth Syndrome,None
21853,,Children (1-13 years old),Both,Barth Syndrome,None
21854,,Children (1-13 years old),Both,Barth Syndrome,None
21855,,Children (1-13 years old),Both,Barth Syndrome,None
21856,,Children (1-13 years old),Both,Barth Syndrome,None
21857,,Children (1-13 years old),Both,Barth Syndrome,None
21858,,Children (1-13 years old),Both,Barth Syndrome,None
21859,,Children (1-13 years old),Both,Barth Syndrome,None
21860,,Children (1-13 years old),Both,Barth Syndrome,None
21861,,Children (1-13 years old),Both,Barth Syndrome,None
21862,,Children (1-13 years old),Both,Barth Syndrome,None
21863,,Children (1-13 years old),Both,Barth Syndrome,None
21864,,Children (1-13 years old),Both,Barth Syndrome,None
21865,,Children (1-13 years old),Both,Barth Syndrome,None
21866,,Children (1-13 years old),Both,Barth Syndrome,None
21867,,Children (1-13 years old),Both,Barth Syndrome,None
21868,,Children (1-13 years old),Both,Barth Syndrome,None
21869,,Children (1-13 years old),Both,Barth Syndrome,None
21870,,Children (1-13 years old),Both,Barth Syndrome,None
21871,,Children (1-13 years old),Both,Barth Syndrome,None
21872,,Children (1-13 years old),Both,Barth Syndrome,None
21873,,Children (1-13 years old),Both,Barth Syndrome,None
21874,,Children (1-13 years old),Both,Barth Syndrome,None
21875,,Children (1-13 years old),Both,Barth Syndrome,None
21876,,Children (1-13 years old),Both,Barth Syndrome,None
21877,,Children (1-13 years old),Both,Barth Syndrome,None
21878,,Children (1-13 years old),Both,Barth Syndrome,None
21879,,Children (1-13 years old),Both,Barth Syndrome,None
21880,,Children (1-13 years old),Both,Barth Syndrome,None
21881,,Children (1-13 years old),Both,Barth Syndrome,None
21882,,Children (1-13 years old),Both,Barth Syndrome,None
21883,,Children (1-13 years old),Both,Barth Syndrome,None
21884,,Children (1-13 years old),Both,Barth Syndrome,None
21885,,Children (1-13 years old),Both,Barth Syndrome,None
21886,,Children (1-13 years old),Both,Barth Syndrome,None
21887,,Children (1-13 years old),Both,Barth Syndrome,None
21888,,Children (1-13 years old),Both,Barth Syndrome,None
21889,,Children (1-13 years old),Both,Barth Syndrome,None
21890,,Children (1-13 years old),Both,Barth Syndrome,None
21891,,Children (1-13 years old),Both,Barth Syndrome,None
21892,,Children (1-13 years old),Both,Barth Syndrome,None
21893,,Children (1-13 years old),Both,Barth Syndrome,None
21894,,Children (1-13 years old),Both,Barth Syndrome,None
21895,,Children (1-13 years old),Both,Barth Syndrome,None
21896,,Children (1-13 years old),Both,Barth Syndrome,None
21897,,Children (1-13 years old),Both,Barth Syndrome,None
21898,,Children (1-13 years old),Both,Barth Syndrome,None
21899,,Children (1-13 years old),Both,Barth Syndrome,None
21900,,Children (1-13 years old),Both,Barth Syndrome,None
21901,,Children (1-13 years old),Both,Barth Syndrome,None
21902,,Children (1-13 years old),Both,Barth Syndrome,None
21903,,Children (1-13 years old),Both,Barth Syndrome,None
21904,,Children (1-13 years old),Both,Barth Syndrome,None
21905,,Children (1-13 years old),Both,Barth Syndrome,None
21906,,Children (1-13 years old),Both,Barth Syndrome,None
21907,,Children (1-13 years old),Both,Barth Syndrome,None
21908,,Children (1-13 years old),Both,Barth Syndrome,None
21909,,Children (1-13 years old),Both,Barth Syndrome,None
21910,,Children (1-13 years old),Both,Barth Syndrome,None
21911,,Children (1-13 years old),Both,Barth Syndrome,None
21912,,Children (1-13 years old),Both,Barth Syndrome,None
21913,,Children (1-13 years old),Both,Barth Syndrome,None
21914,,Children (1-13 years old),Both,Barth Syndrome,None
21915,,Children (1-13 years old),Both,Barth Syndrome,None
21916,,Children (1-13 years old),Both,Barth Syndrome,None
21917,,Children (1-13 years old),Both,Barth Syndrome,None
21918,,Children (1-13 years old),Both,Barth Syndrome,None
21919,,Children (1-13 years old),Both,Barth Syndrome,None
21920,,Children (1-13 years old),Both,Barth Syndrome,None
21921,,Children (1-13 years old),Both,Barth Syndrome,None
21922,,Children (1-13 years old),Both,Barth Syndrome,None
21923,,Children (1-13 years old),Both,Barth Syndrome,None
21924,,Children (1-13 years old),Both,Barth Syndrome,None
21925,,Children (1-13 years old),Both,Barth Syndrome,None
21926,,Children (1-13 years old),Both,Barth Syndrome,None
21927,,Children (1-13 years old),Both,Barth Syndrome,None
21928,,Children (1-13 years old),Both,Barth Syndrome,None
21929,,Children (1-13 years old),Both,Barth Syndrome,None
21930,,Children (1-13 years old),Both,Barth Syndrome,None
21931,,Children (1-13 years old),Both,Barth Syndrome,None
21932,,Children (1-13 years old),Both,Barth Syndrome,None
21933,,Children (1-13 years old),Both,Barth Syndrome,None
21934,,Children (1-13 years old),Both,Barth Syndrome,None
21935,,Children (1-13 years old),Both,Barth Syndrome,None
21936,,Children (1-13 years old),Both,Barth Syndrome,None
21937,,Children (1-13 years old),Both,Barth Syndrome,None
21938,,Children (1-13 years old),Both,Barth Syndrome,None
21939,,Children (1-13 years old),Both,Barth Syndrome,None
21940,,Children (1-13 years old),Both,Barth Syndrome,None
21941,,Children (1-13 years old),Both,Barth Syndrome,None
21942,,Children (1-13 years old),Both,Barth Syndrome,None
21943,,Children (1-13 years old),Both,Barth Syndrome,None
21944,,Children (1-13 years old),Both,Barth Syndrome,None
21945,,Children (1-13 years old),Both,Barth Syndrome,None
21946,,Children (1-13 years old),Both,Barth Syndrome,None
21947,,Children (1-13 years old),Both,Barth Syndrome,None
21948,,Children (1-13 years old),Both,Barth Syndrome,None
21949,,Children (1-13 years old),Both,Barth Syndrome,None
21950,,Children (1-13 years old),Both,Barth Syndrome,None
21951,,Children (1-13 years old),Both,Barth Syndrome,None
21952,,Children (1-13 years old),Both,Barth Syndrome,None
21953,,Children (1-13 years old),Both,Barth Syndrome,None
21954,,Children (1-13 years old),Both,Barth Syndrome,None
21955,,Children (1-13 years old),Both,Barth Syndrome,None
21956,,Children (1-13 years old),Both,Barth Syndrome,None
21957,,Children (1-13 years old),Both,Barth Syndrome,None
21958,,Children (1-13 years old),Both,Barth Syndrome,None
21959,,Children (1-13 years old),Both,Barth Syndrome,None
21960,,Children (1-13 years old),Both,Barth Syndrome,None
21961,,Children (1-13 years old),Both,Barth Syndrome,None
21962,,Children (1-13 years old),Both,Barth Syndrome,None
21963,,Children (1-13 years old),Both,Barth Syndrome,None
21964,,Children (1-13 years old),Both,Barth Syndrome,None
21965,,Children (1-13 years old),Both,Barth Syndrome,None
21966,,Children (1-13 years old),Both,Barth Syndrome,None
21967,,Children (1-13 years old),Both,Barth Syndrome,None
21968,,Children (1-13 years old),Both,Barth Syndrome,None
21969,,Children (1-13 years old),Both,Barth Syndrome,None
21970,,Children (1-13 years old),Both,Barth Syndrome,None
21971,,Children (1-13 years old),Both,Barth Syndrome,None
21972,,Children (1-13 years old),Both,Barth Syndrome,None
21973,,Children (1-13 years old),Both,Barth Syndrome,None
21974,,Children (1-13 years old),Both,Barth Syndrome,None
21975,,Children (1-13 years old),Both,Barth Syndrome,None
21976,,Children (1-13 years old),Both,Barth Syndrome,None
21977,,Children (1-13 years old),Both,Barth Syndrome,None
21978,,Children (1-13 years old),Both,Barth Syndrome,None
21979,,Children (1-13 years old),Both,Barth Syndrome,None
21980,,Children (1-13 years old),Both,Barth Syndrome,None
21981,,Children (1-13 years old),Both,Barth Syndrome,None
21982,,Children (1-13 years old),Both,Barth Syndrome,None
21983,,Children (1-13 years old),Both,Barth Syndrome,None
21984,,Children (1-13 years old),Both,Barth Syndrome,None
21985,,Children (1-13 years old),Both,Barth Syndrome,None
21986,,Children (1-13 years old),Both,Barth Syndrome,None
21987,,Children (1-13 years old),Both,Barth Syndrome,None
21988,,Children (1-13 years old),Both,Barth Syndrome,None
21989,,Children (1-13 years old),Both,Barth Syndrome,None
21990,,Children (1-13 years old),Both,Barth Syndrome,None
21991,,Children (1-13 years old),Both,Barth Syndrome,None
21992,,Children (1-13 years old),Both,Barth Syndrome,None
21993,,Children (1-13 years old),Both,Barth Syndrome,None
21994,,Children (1-13 years old),Both,Barth Syndrome,None
21995,,Children (1-13 years old),Both,Barth Syndrome,None
21996,,Children (1-13 years old),Both,Barth Syndrome,None
21997,,Children (1-13 years old),Both,Barth Syndrome,None
21998,,Children (1-13 years old),Both,Barth Syndrome,None
21999,,Children (1-13 years old),Both,Barth Syndrome,None
22000,,Children (1-13 years old),Both,Barth Syndrome,None
22001,,Children (1-13 years old),Both,Barth Syndrome,None
22002,,Children (1-13 years old),Both,Barth Syndrome,None
22003,,Children (1-13 years old),Both,Barth Syndrome,None
22004,,Children (1-13 years old),Both,Barth Syndrome,None
22005,,Children (1-13 years old),Both,Barth Syndrome,None
22006,,Children (1-13 years old),Both,Barth Syndrome,None
22007,,Children (1-13 years old),Both,Barth Syndrome,None
22008,,Children (1-13 years old),Both,Barth Syndrome,None
22009,,Children (1-13 years old),Both,Barth Syndrome,None
22010,,Children (1-13 years old),Both,Barth Syndrome,None
22011,,Children (1-13 years old),Both,Barth Syndrome,None
22012,,Children (1-13 years old),Both,Barth Syndrome,None
22013,,Children (1-13 years old),Both,Barth Syndrome,None
22014,,Children (1-13 years old),Both,Barth Syndrome,None
22015,,Children (1-13 years old),Both,Barth Syndrome,None
22016,,Children (1-13 years old),Both,Barth Syndrome,None
22017,,Children (1-13 years old),Both,Barth Syndrome,None
22018,,Children (1-13 years old),Both,Barth Syndrome,None
22019,,Children (1-13 years old),Both,Barth Syndrome,None
22020,,Children (1-13 years old),Both,Barth Syndrome,None
22021,,Children (1-13 years old),Both,Barth Syndrome,None
22022,,Children (1-13 years old),Both,Barth Syndrome,None
22023,,Children (1-13 years old),Both,Barth Syndrome,None
22024,,Children (1-13 years old),Both,Barth Syndrome,None
22025,,Children (1-13 years old),Both,Barth Syndrome,None
22026,,Children (1-13 years old),Both,Barth Syndrome,None
22027,,Children (1-13 years old),Both,Barth Syndrome,None
22028,,Children (1-13 years old),Both,Barth Syndrome,None
22029,,Children (1-13 years old),Both,Barth Syndrome,None
22030,,Children (1-13 years old),Both,Barth Syndrome,None
22031,,Children (1-13 years old),Both,Barth Syndrome,None
22032,,Children (1-13 years old),Both,Barth Syndrome,None
22033,,Children (1-13 years old),Both,Barth Syndrome,None
22034,,Children (1-13 years old),Both,Barth Syndrome,None
22035,,Children (1-13 years old),Both,Barth Syndrome,None
22036,,Children (1-13 years old),Both,Barth Syndrome,None
22037,,Children (1-13 years old),Both,Barth Syndrome,None
22038,,Children (1-13 years old),Both,Barth Syndrome,None
22039,,Children (1-13 years old),Both,Barth Syndrome,None
22040,,Children (1-13 years old),Both,Barth Syndrome,None
22041,,Children (1-13 years old),Both,Barth Syndrome,None
22042,,Children (1-13 years old),Both,Barth Syndrome,None
22043,,Children (1-13 years old),Both,Barth Syndrome,None
22044,,Children (1-13 years old),Both,Barth Syndrome,None
22045,,Children (1-13 years old),Both,Barth Syndrome,None
22046,,Children (1-13 years old),Both,Barth Syndrome,None
22047,,Children (1-13 years old),Both,Barth Syndrome,None
22048,,Children (1-13 years old),Both,Barth Syndrome,None
22049,,Children (1-13 years old),Both,Barth Syndrome,None
22050,,Children (1-13 years old),Both,Barth Syndrome,None
22051,,Children (1-13 years old),Both,Barth Syndrome,None
22052,,Children (1-13 years old),Both,Barth Syndrome,None
22053,,Children (1-13 years old),Both,Barth Syndrome,None
22054,,Children (1-13 years old),Both,Barth Syndrome,None
22055,,Children (1-13 years old),Both,Barth Syndrome,None
22056,,Children (1-13 years old),Both,Barth Syndrome,None
22057,,Children (1-13 years old),Both,Barth Syndrome,None
22058,,Children (1-13 years old),Both,Barth Syndrome,None
22059,,Children (1-13 years old),Both,Barth Syndrome,None
22060,,Children (1-13 years old),Both,Barth Syndrome,None
22061,,Children (1-13 years old),Both,Barth Syndrome,None
22062,,Children (1-13 years old),Both,Barth Syndrome,None
22063,,Children (1-13 years old),Both,Barth Syndrome,None
22064,,Children (1-13 years old),Both,Barth Syndrome,None
22065,,Children (1-13 years old),Both,Barth Syndrome,None
22066,,Children (1-13 years old),Both,Barth Syndrome,None
22067,,Children (1-13 years old),Both,Barth Syndrome,None
22068,,Children (1-13 years old),Both,Barth Syndrome,None
22069,,Children (1-13 years old),Both,Barth Syndrome,None
22070,,Children (1-13 years old),Both,Barth Syndrome,None
22071,,Children (1-13 years old),Both,Barth Syndrome,None
22072,,Children (1-13 years old),Both,Barth Syndrome,None
22073,,Children (1-13 years old),Both,Barth Syndrome,None
22074,,Children (1-13 years old),Both,Barth Syndrome,None
22075,,Children (1-13 years old),Both,Barth Syndrome,None
22076,,Children (1-13 years old),Both,Barth Syndrome,None
22077,,Children (1-13 years old),Both,Barth Syndrome,None
22078,,Children (1-13 years old),Both,Barth Syndrome,None
22079,,Children (1-13 years old),Both,Barth Syndrome,None
22080,,Children (1-13 years old),Both,Barth Syndrome,None
22081,,Children (1-13 years old),Both,Barth Syndrome,None
22082,,Children (1-13 years old),Both,Barth Syndrome,None
22083,,Children (1-13 years old),Both,Barth Syndrome,None
22084,,Children (1-13 years old),Both,Barth Syndrome,None
22085,,Children (1-13 years old),Both,Barth Syndrome,None
22086,,Children (1-13 years old),Both,Barth Syndrome,None
22087,,Children (1-13 years old),Both,Barth Syndrome,None
22088,,Children (1-13 years old),Both,Barth Syndrome,None
22089,,Children (1-13 years old),Both,Barth Syndrome,None
22090,,Children (1-13 years old),Both,Barth Syndrome,None
22091,,Children (1-13 years old),Both,Barth Syndrome,None
22092,,Children (1-13 years old),Both,Barth Syndrome,None
22093,,Children (1-13 years old),Both,Barth Syndrome,None
22094,,Children (1-13 years old),Both,Barth Syndrome,None
22095,,Children (1-13 years old),Both,Barth Syndrome,None
22096,,Children (1-13 years old),Both,Barth Syndrome,None
22097,,Children (1-13 years old),Both,Barth Syndrome,None
22098,,Children (1-13 years old),Both,Barth Syndrome,None
22099,,Children (1-13 years old),Both,Barth Syndrome,None
22100,,Children (1-13 years old),Both,Barth Syndrome,None
22101,,Children (1-13 years old),Both,Barth Syndrome,None
22102,,Children (1-13 years old),Both,Barth Syndrome,None
22103,,Children (1-13 years old),Both,Barth Syndrome,None
22104,,Children (1-13 years old),Both,Barth Syndrome,None
22105,,Children (1-13 years old),Both,Barth Syndrome,None
22106,,Children (1-13 years old),Both,Barth Syndrome,None
22107,,Children (1-13 years old),Both,Barth Syndrome,None
22108,,Children (1-13 years old),Both,Barth Syndrome,None
22109,,Children (1-13 years old),Both,Barth Syndrome,None
22110,,Children (1-13 years old),Both,Barth Syndrome,None
22111,,Children (1-13 years old),Both,Barth Syndrome,None
22112,,Children (1-13 years old),Both,Barth Syndrome,None
22113,,Children (1-13 years old),Both,Barth Syndrome,None
22114,,Children (1-13 years old),Both,Barth Syndrome,None
22115,,Children (1-13 years old),Both,Barth Syndrome,None
22116,,Children (1-13 years old),Both,Barth Syndrome,None
22117,,Children (1-13 years old),Both,Barth Syndrome,None
22118,,Children (1-13 years old),Both,Barth Syndrome,None
22119,,Children (1-13 years old),Both,Barth Syndrome,None
22120,,Children (1-13 years old),Both,Barth Syndrome,None
22121,,Children (1-13 years old),Both,Barth Syndrome,None
22122,,Children (1-13 years old),Both,Barth Syndrome,None
22123,,Children (1-13 years old),Both,Barth Syndrome,None
22124,,Children (1-13 years old),Both,Barth Syndrome,None
22125,,Children (1-13 years old),Both,Barth Syndrome,None
22126,,Children (1-13 years old),Both,Barth Syndrome,None
22127,,Children (1-13 years old),Both,Barth Syndrome,None
22128,,Children (1-13 years old),Both,Barth Syndrome,None
22129,,Children (1-13 years old),Both,Barth Syndrome,None
22130,,Children (1-13 years old),Both,Barth Syndrome,None
22131,,Children (1-13 years old),Both,Barth Syndrome,None
22132,,Children (1-13 years old),Both,Barth Syndrome,None
22133,,Children (1-13 years old),Both,Barth Syndrome,None
22134,,Children (1-13 years old),Both,Barth Syndrome,None
22135,,Children (1-13 years old),Both,Barth Syndrome,None
22136,,Children (1-13 years old),Both,Barth Syndrome,None
22137,,Children (1-13 years old),Both,Barth Syndrome,None
22138,,Children (1-13 years old),Both,Barth Syndrome,None
22139,,Children (1-13 years old),Both,Barth Syndrome,None
22140,,Children (1-13 years old),Both,Barth Syndrome,None
22141,,Children (1-13 years old),Both,Barth Syndrome,None
22142,,Children (1-13 years old),Both,Barth Syndrome,None
22143,,Children (1-13 years old),Both,Barth Syndrome,None
22144,,Children (1-13 years old),Both,Barth Syndrome,None
22145,,Children (1-13 years old),Both,Barth Syndrome,None
22146,,Children (1-13 years old),Both,Barth Syndrome,None
22147,,Children (1-13 years old),Both,Barth Syndrome,None
22148,,Children (1-13 years old),Both,Barth Syndrome,None
22149,,Children (1-13 years old),Both,Barth Syndrome,None
22150,,Children (1-13 years old),Both,Barth Syndrome,None
22151,,Children (1-13 years old),Both,Barth Syndrome,None
22152,,Children (1-13 years old),Both,Barth Syndrome,None
22153,,Children (1-13 years old),Both,Barth Syndrome,None
22154,,Children (1-13 years old),Both,Barth Syndrome,None
22155,,Children (1-13 years old),Both,Barth Syndrome,None
22156,,Children (1-13 years old),Both,Barth Syndrome,None
22157,,Children (1-13 years old),Both,Barth Syndrome,None
22158,,Children (1-13 years old),Both,Barth Syndrome,None
22159,,Children (1-13 years old),Both,Barth Syndrome,None
22160,,Children (1-13 years old),Both,Barth Syndrome,None
22161,,Children (1-13 years old),Both,Barth Syndrome,None
22162,,Children (1-13 years old),Both,Barth Syndrome,None
22163,,Children (1-13 years old),Both,Barth Syndrome,None
22164,,Children (1-13 years old),Both,Barth Syndrome,None
22165,,Children (1-13 years old),Both,Barth Syndrome,None
22166,,Children (1-13 years old),Both,Barth Syndrome,None
22167,,Children (1-13 years old),Both,Barth Syndrome,None
22168,,Children (1-13 years old),Both,Barth Syndrome,None
22169,,Children (1-13 years old),Both,Barth Syndrome,None
22170,,Children (1-13 years old),Both,Barth Syndrome,None
22171,,Children (1-13 years old),Both,Barth Syndrome,None
22172,,Children (1-13 years old),Both,Barth Syndrome,None
22173,,Children (1-13 years old),Both,Barth Syndrome,None
22174,,Children (1-13 years old),Both,Barth Syndrome,None
22175,,Children (1-13 years old),Both,Barth Syndrome,None
22176,,Children (1-13 years old),Both,Barth Syndrome,None
22177,,Children (1-13 years old),Both,Barth Syndrome,None
22178,,Children (1-13 years old),Both,Barth Syndrome,None
22179,,Children (1-13 years old),Both,Barth Syndrome,None
22180,,Children (1-13 years old),Both,Barth Syndrome,None
22181,,Children (1-13 years old),Both,Barth Syndrome,None
22182,,Children (1-13 years old),Both,Barth Syndrome,None
22183,,Children (1-13 years old),Both,Barth Syndrome,None
22184,,Children (1-13 years old),Both,Barth Syndrome,None
22185,,Children (1-13 years old),Both,Barth Syndrome,None
22186,,Children (1-13 years old),Both,Barth Syndrome,None
22187,,Children (1-13 years old),Both,Barth Syndrome,None
22188,,Children (1-13 years old),Both,Barth Syndrome,None
22189,,Children (1-13 years old),Both,Barth Syndrome,None
22190,,Children (1-13 years old),Both,Barth Syndrome,None
22191,,Children (1-13 years old),Both,Barth Syndrome,None
22192,,Children (1-13 years old),Both,Barth Syndrome,None
22193,,Children (1-13 years old),Both,Barth Syndrome,None
22194,,Children (1-13 years old),Both,Barth Syndrome,None
22195,,Children (1-13 years old),Both,Barth Syndrome,None
22196,,Children (1-13 years old),Both,Barth Syndrome,None
22197,,Children (1-13 years old),Both,Barth Syndrome,None
22198,,Children (1-13 years old),Both,Barth Syndrome,None
22199,,Children (1-13 years old),Both,Barth Syndrome,None
22200,,Children (1-13 years old),Both,Barth Syndrome,None
22201,,Children (1-13 years old),Both,Barth Syndrome,None
22202,,Children (1-13 years old),Both,Barth Syndrome,None
22203,,Children (1-13 years old),Both,Barth Syndrome,None
22204,,Children (1-13 years old),Both,Barth Syndrome,None
22205,,Children (1-13 years old),Both,Barth Syndrome,None
22206,,Children (1-13 years old),Both,Barth Syndrome,None
22207,,Children (1-13 years old),Both,Barth Syndrome,None
22208,,Children (1-13 years old),Both,Barth Syndrome,None
22209,,Children (1-13 years old),Both,Barth Syndrome,None
22210,,Children (1-13 years old),Both,Barth Syndrome,None
22211,,Children (1-13 years old),Both,Barth Syndrome,None
22212,,Children (1-13 years old),Both,Barth Syndrome,None
22213,,Children (1-13 years old),Both,Barth Syndrome,None
22214,,Children (1-13 years old),Both,Barth Syndrome,None
22215,,Children (1-13 years old),Both,Barth Syndrome,None
22216,,Children (1-13 years old),Both,Barth Syndrome,None
22217,,Children (1-13 years old),Both,Barth Syndrome,None
22218,,Children (1-13 years old),Both,Barth Syndrome,None
22219,,Children (1-13 years old),Both,Barth Syndrome,None
22220,,Children (1-13 years old),Both,Barth Syndrome,None
22221,,Children (1-13 years old),Both,Barth Syndrome,None
22222,,Children (1-13 years old),Both,Barth Syndrome,None
22223,,Children (1-13 years old),Both,Barth Syndrome,None
22224,,Children (1-13 years old),Both,Barth Syndrome,None
22225,,Children (1-13 years old),Both,Barth Syndrome,None
22226,,Children (1-13 years old),Both,Barth Syndrome,None
22227,,Children (1-13 years old),Both,Barth Syndrome,None
22228,,Children (1-13 years old),Both,Barth Syndrome,None
22229,,Children (1-13 years old),Both,Barth Syndrome,None
22230,,Children (1-13 years old),Both,Barth Syndrome,None
22231,,Children (1-13 years old),Both,Barth Syndrome,None
22232,,Children (1-13 years old),Both,Barth Syndrome,None
22233,,Children (1-13 years old),Both,Barth Syndrome,None
22234,,Children (1-13 years old),Both,Barth Syndrome,None
22235,,Children (1-13 years old),Both,Barth Syndrome,None
22236,,Children (1-13 years old),Both,Barth Syndrome,None
22237,,Children (1-13 years old),Both,Barth Syndrome,None
22238,,Children (1-13 years old),Both,Barth Syndrome,None
22239,,Children (1-13 years old),Both,Barth Syndrome,None
22240,,Children (1-13 years old),Both,Barth Syndrome,None
22241,,Children (1-13 years old),Both,Barth Syndrome,None
22242,,Children (1-13 years old),Both,Barth Syndrome,None
22243,,Children (1-13 years old),Both,Barth Syndrome,None
22244,,Children (1-13 years old),Both,Barth Syndrome,None
22245,,Children (1-13 years old),Both,Barth Syndrome,None
22246,,Children (1-13 years old),Both,Barth Syndrome,None
22247,,Children (1-13 years old),Both,Barth Syndrome,None
22248,,Children (1-13 years old),Both,Barth Syndrome,None
22249,,Children (1-13 years old),Both,Barth Syndrome,None
22250,,Children (1-13 years old),Both,Barth Syndrome,None
22251,,Children (1-13 years old),Both,Barth Syndrome,None
22252,,Children (1-13 years old),Both,Barth Syndrome,None
22253,,Children (1-13 years old),Both,Barth Syndrome,None
22254,,Children (1-13 years old),Both,Barth Syndrome,None
22255,,Children (1-13 years old),Both,Barth Syndrome,None
22256,,Children (1-13 years old),Both,Barth Syndrome,None
22257,,Children (1-13 years old),Both,Barth Syndrome,None
22258,,Children (1-13 years old),Both,Barth Syndrome,None
22259,,Children (1-13 years old),Both,Barth Syndrome,None
22260,,Children (1-13 years old),Both,Barth Syndrome,None
22261,,Children (1-13 years old),Both,Barth Syndrome,None
22262,,Children (1-13 years old),Both,Barth Syndrome,None
22263,,Children (1-13 years old),Both,Barth Syndrome,None
22264,,Children (1-13 years old),Both,Barth Syndrome,None
22265,,Children (1-13 years old),Both,Barth Syndrome,None
22266,,Children (1-13 years old),Both,Barth Syndrome,None
22267,,Children (1-13 years old),Both,Barth Syndrome,None
22268,,Children (1-13 years old),Both,Barth Syndrome,None
22269,,Children (1-13 years old),Both,Barth Syndrome,None
22270,,Children (1-13 years old),Both,Barth Syndrome,None
22271,,Children (1-13 years old),Both,Barth Syndrome,None
22272,,Children (1-13 years old),Both,Barth Syndrome,None
22273,,Children (1-13 years old),Both,Barth Syndrome,None
22274,,Children (1-13 years old),Both,Barth Syndrome,None
22275,,Children (1-13 years old),Both,Barth Syndrome,None
22276,,Children (1-13 years old),Both,Barth Syndrome,None
22277,,Children (1-13 years old),Both,Barth Syndrome,None
22278,,Children (1-13 years old),Both,Barth Syndrome,None
22279,,Children (1-13 years old),Both,Barth Syndrome,None
22280,,Children (1-13 years old),Both,Barth Syndrome,None
22281,,Children (1-13 years old),Both,Barth Syndrome,None
22282,,Children (1-13 years old),Both,Barth Syndrome,None
22283,,Children (1-13 years old),Both,Barth Syndrome,None
22284,,Children (1-13 years old),Both,Barth Syndrome,None
22285,,Children (1-13 years old),Both,Barth Syndrome,None
22286,,Children (1-13 years old),Both,Barth Syndrome,None
22287,,Children (1-13 years old),Both,Barth Syndrome,None
22288,,Children (1-13 years old),Both,Barth Syndrome,None
22289,,Children (1-13 years old),Both,Barth Syndrome,None
22290,,Children (1-13 years old),Both,Barth Syndrome,None
22291,,Children (1-13 years old),Both,Barth Syndrome,None
22292,,Children (1-13 years old),Both,Barth Syndrome,None
22293,,Children (1-13 years old),Both,Barth Syndrome,None
22294,,Children (1-13 years old),Both,Barth Syndrome,None
22295,,Children (1-13 years old),Both,Barth Syndrome,None
22296,,Children (1-13 years old),Both,Barth Syndrome,None
22297,,Children (1-13 years old),Both,Barth Syndrome,None
22298,,Children (1-13 years old),Both,Barth Syndrome,None
22299,,Children (1-13 years old),Both,Barth Syndrome,None
22300,,Children (1-13 years old),Both,Barth Syndrome,None
22301,,Children (1-13 years old),Both,Barth Syndrome,None
22302,,Children (1-13 years old),Both,Barth Syndrome,None
22303,,Children (1-13 years old),Both,Barth Syndrome,None
22304,,Children (1-13 years old),Both,Barth Syndrome,None
22305,,Children (1-13 years old),Both,Barth Syndrome,None
22306,,Children (1-13 years old),Both,Barth Syndrome,None
22307,,Children (1-13 years old),Both,Barth Syndrome,None
22308,,Children (1-13 years old),Both,Barth Syndrome,None
22309,,Children (1-13 years old),Both,Barth Syndrome,None
22310,,Children (1-13 years old),Both,Barth Syndrome,None
22311,,Children (1-13 years old),Both,Barth Syndrome,None
22312,,Children (1-13 years old),Both,Barth Syndrome,None
22313,,Children (1-13 years old),Both,Barth Syndrome,None
22314,,Children (1-13 years old),Both,Barth Syndrome,None
22315,,Children (1-13 years old),Both,Barth Syndrome,None
22316,,Children (1-13 years old),Both,Barth Syndrome,None
22317,,Children (1-13 years old),Both,Barth Syndrome,None
22318,,Children (1-13 years old),Both,Barth Syndrome,None
22319,,Children (1-13 years old),Both,Barth Syndrome,None
22320,,Children (1-13 years old),Both,Barth Syndrome,None
22321,,Children (1-13 years old),Both,Barth Syndrome,None
22322,,Children (1-13 years old),Both,Barth Syndrome,None
22323,,Children (1-13 years old),Both,Barth Syndrome,None
22324,,Children (1-13 years old),Both,Barth Syndrome,None
22325,,Children (1-13 years old),Both,Barth Syndrome,None
22326,,Children (1-13 years old),Both,Barth Syndrome,None
22327,,Children (1-13 years old),Both,Barth Syndrome,None
22328,,Children (1-13 years old),Both,Barth Syndrome,None
22329,,Children (1-13 years old),Both,Barth Syndrome,None
22330,,Children (1-13 years old),Both,Barth Syndrome,None
22331,,Children (1-13 years old),Both,Barth Syndrome,None
