,Name,Accession,Value(uM),Subject Age,Subject Sex,Subject Information
8301,"PG(18:1(11Z)/20:3(8Z,11Z,14Z))",HMDB0010624,0.191 +/- 0.026,Adult (>18 years old),Both,Normal
8302,"PG(18:1(11Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0010625,0.605 +/- 0.127,Adult (>18 years old),Both,Normal
8303,"PG(18:1(11Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0010626,0.159 +/- 0.029,Adult (>18 years old),Both,Normal
8304,"PG(18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0010627,0.145 +/- 0.021,Adult (>18 years old),Both,Normal
8305,"PG(18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0010628,0.145 +/- 0.021,Adult (>18 years old),Both,Normal
8306,"PG(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0010629,0.181 +/- 0.024,Adult (>18 years old),Both,Normal
8307,PG(18:1(9Z)/16:0),HMDB0010630,0.604 +/- 0.044,Adult (>18 years old),Both,Normal
8308,PG(18:1(9Z)/16:1(9Z)),HMDB0010631,0.080 +/- 0.010,Adult (>18 years old),Both,Normal
8309,PG(18:1(9Z)/18:0),HMDB0010632,1.59 +/- 0.12,Adult (>18 years old),Both,Normal
8310,PG(18:1(9Z)/18:1(11Z)),HMDB0010633,0.194 +/- 0.010,Adult (>18 years old),Both,Normal
8311,PG(18:1(9Z)/18:1(9Z)),HMDB0010634,0.194 +/- 0.010,Adult (>18 years old),Both,Normal
8312,"PG(18:1(9Z)/18:2(9Z,12Z))",HMDB0010635,0.338 +/- 0.052,Adult (>18 years old),Both,Normal
8313,"PG(18:1(9Z)/18:3(6Z,9Z,12Z))",HMDB0010636,0.217 +/- 0.036,Adult (>18 years old),Both,Normal
8314,"PG(18:1(9Z)/18:3(9Z,12Z,15Z))",HMDB0010637,0.217 +/- 0.036,Adult (>18 years old),Both,Normal
8315,"PG(18:1(9Z)/20:3(5Z,8Z,11Z))",HMDB0010638,0.191 +/- 0.026,Adult (>18 years old),Both,Normal
8316,"PG(18:1(9Z)/20:3(8Z,11Z,14Z))",HMDB0010639,0.191 +/- 0.026,Adult (>18 years old),Both,Normal
8317,"PG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0010640,0.605 +/- 0.127,Adult (>18 years old),Both,Normal
8318,"PG(18:1(9Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0010641,0.159 +/- 0.029,Adult (>18 years old),Both,Normal
8319,"PG(18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0010642,0.145 +/- 0.021,Adult (>18 years old),Both,Normal
8320,"PG(18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0010643,0.145 +/- 0.021,Adult (>18 years old),Both,Normal
8321,"PG(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0010644,0.181 +/- 0.024,Adult (>18 years old),Both,Normal
8322,"PG(18:2(9Z,12Z)/16:0)",HMDB0010645,0.080 +/- 0.010,Adult (>18 years old),Both,Normal
8323,"PG(18:2(9Z,12Z)/18:0)",HMDB0010647,0.194 +/- 0.010,Adult (>18 years old),Both,Normal
8324,"PG(18:2(9Z,12Z)/18:1(11Z))",HMDB0010648,0.338 +/- 0.052,Adult (>18 years old),Both,Normal
8325,"PG(18:2(9Z,12Z)/18:1(9Z))",HMDB0010649,0.338 +/- 0.052,Adult (>18 years old),Both,Normal
8326,"PG(18:2(9Z,12Z)/18:2(9Z,12Z))",HMDB0010650,0.217 +/- 0.036,Adult (>18 years old),Both,Normal
8327,"PG(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))",HMDB0010651,0.351 +/- 0.025,Adult (>18 years old),Both,Normal
8328,"PG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))",HMDB0010652,0.351 +/- 0.025,Adult (>18 years old),Both,Normal
8329,"PG(18:2(9Z,12Z)/20:3(5Z,8Z,11Z))",HMDB0010653,0.605 +/- 0.127,Adult (>18 years old),Both,Normal
8330,"PG(18:2(9Z,12Z)/20:3(8Z,11Z,14Z))",HMDB0010654,0.605 +/- 0.127,Adult (>18 years old),Both,Normal
8331,"PG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0010655,0.919 +/- 0.137,Adult (>18 years old),Both,Normal
8332,"PG(18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0010656,0.145 +/- 0.021,Adult (>18 years old),Both,Normal
8333,"PG(18:2(9Z,12Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0010657,0.181 +/- 0.024,Adult (>18 years old),Both,Normal
8334,"PG(18:2(9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0010658,0.181 +/- 0.024,Adult (>18 years old),Both,Normal
8335,"PG(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0010659,0.105 +/- 0.018,Adult (>18 years old),Both,Normal
8336,"PG(18:3(6Z,9Z,12Z)/18:0)",HMDB0010662,0.338 +/- 0.052,Adult (>18 years old),Both,Normal
8337,"PG(18:3(6Z,9Z,12Z)/18:1(11Z))",HMDB0010663,0.217 +/- 0.036,Adult (>18 years old),Both,Normal
8338,"PG(18:3(6Z,9Z,12Z)/18:1(9Z))",HMDB0010664,0.217 +/- 0.036,Adult (>18 years old),Both,Normal
8339,"PG(18:3(6Z,9Z,12Z)/18:2(9Z,12Z))",HMDB0010665,0.351 +/- 0.025,Adult (>18 years old),Both,Normal
8340,"PG(18:3(6Z,9Z,12Z)/20:3(5Z,8Z,11Z))",HMDB0010668,0.919 +/- 0.137,Adult (>18 years old),Both,Normal
8341,"PG(18:3(6Z,9Z,12Z)/20:3(8Z,11Z,14Z))",HMDB0010669,0.919 +/- 0.137,Adult (>18 years old),Both,Normal
8342,"PG(18:3(6Z,9Z,12Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0010671,0.181 +/- 0.024,Adult (>18 years old),Both,Normal
8343,"PG(18:3(6Z,9Z,12Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0010672,0.105 +/- 0.018,Adult (>18 years old),Both,Normal
8344,"PG(18:3(6Z,9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0010673,0.105 +/- 0.018,Adult (>18 years old),Both,Normal
8345,"PG(18:3(6Z,9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0010674,"0.116 +/- 0.019		",Adult (>18 years old),Both,Normal
8346,"PG(18:3(9Z,12Z,15Z)/18:0)",HMDB0010677,0.338 +/- 0.052,Adult (>18 years old),Both,Normal
8347,"PG(18:3(9Z,12Z,15Z)/18:1(11Z))",HMDB0010678,0.217 +/- 0.036,Adult (>18 years old),Both,Normal
8348,"PG(18:3(9Z,12Z,15Z)/18:1(9Z))",HMDB0010679,0.217 +/- 0.036,Adult (>18 years old),Both,Normal
8349,"PG(18:3(9Z,12Z,15Z)/18:2(9Z,12Z))",HMDB0010680,0.351 +/- 0.025,Adult (>18 years old),Both,Normal
8350,"PG(18:3(9Z,12Z,15Z)/20:3(5Z,8Z,11Z))",HMDB0010683,0.919 +/- 0.137,Adult (>18 years old),Both,Normal
8351,"PG(18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z))",HMDB0010684,0.919 +/- 0.137,Adult (>18 years old),Both,Normal
8352,"PG(18:3(9Z,12Z,15Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0010686,0.181 +/- 0.024,Adult (>18 years old),Both,Normal
8353,"PG(18:3(9Z,12Z,15Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0010687,0.105 +/- 0.018,Adult (>18 years old),Both,Normal
8354,"PG(18:3(9Z,12Z,15Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0010688,0.105 +/- 0.018,Adult (>18 years old),Both,Normal
8355,"PG(18:3(9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0010689,"0.116 +/- 0.019		",Adult (>18 years old),Both,Normal
8356,1-Methylxanthine,HMDB0010738,,,,Normal
8357,1-Methylxanthine,HMDB0010738,,Adult (>18 years old),Both,Normal
8358,1-Methylxanthine,HMDB0010738,,Adult (>18 years old),Both,Normal
8359,1-Methylxanthine,HMDB0010738,,Adult (>18 years old),Both,Normal
8360,1-Methylxanthine,HMDB0010738,,Adult (>18 years old),Female,Normal
8361,"1,7-Dimethyluric acid",HMDB0011103,,,,Normal
8362,"1,7-Dimethyluric acid",HMDB0011103,,Adult (>18 years old),Both,Normal
8363,"1,7-Dimethyluric acid",HMDB0011103,,Adult (>18 years old),Both,Normal
8364,5-Acetylamino-6-formylamino-3-methyluracil,HMDB0011105,,,,Normal
8365,Selenite,HMDB0011119,0.0013 (0.00-0.0063),Adult (>18 years old),Female,Normal
8366,5-HETE,HMDB0011134,0.0119 +/- 0.0014,Adult (>18 years old),Both,Normal
8367,5-HETE,HMDB0011134,0.001598 +/- 0.000958,Adult (>18 years old),Both,Normal
8368,5-HETE,HMDB0011134,0.159 +/- 0.037,Adult (>18 years old),Both,Normal
8369,5-HETE,HMDB0011134,0.25 +/- 0.09,Adult (>18 years old),Both,Normal
8370,5-HETE,HMDB0011134,0.07 +/- 0.02,Adult (>18 years old),Both,Normal
8371,5-HETE,HMDB0011134,3.51 +/- 0.57,Adult (>18 years old),Both,Normal
8372,5-HETE,HMDB0011134,0.000901 +/- 0.000029,Adult (>18 years old),Both,Normal
8373,5-HETE,HMDB0011134,0.00102 +/- 0.00079,Adult (>18 years old),Both,Normal
8374,"PC(O-16:0/18:2(9Z,12Z))",HMDB0011151,12.70 +/- 4.07,Children (1-13 years old),Both,Normal
8375,"PC(O-16:0/18:2(9Z,12Z))",HMDB0011151,6.10-28.0,Adult (>18 years old),Both,Normal
8376,"PC(O-16:0/18:2(9Z,12Z))",HMDB0011151,11.55 (0.03-16.47),Adolescent (13-18 years old),Both,Normal
8377,"PC(O-16:0/18:2(9Z,12Z))",HMDB0011151,13.3 +/- 3.07,Adult (>18 years old),Both,Normal
8378,"PC(O-16:0/18:2(9Z,12Z))",HMDB0011151,3.12 (2.61-3.68),Newborn (0-30 days old),,Normal
8379,"PC(O-16:0/18:2(9Z,12Z))",HMDB0011151,13.46(4.65),Adult (>18 years old),Both,Normal
8380,"PC(O-16:0/18:2(9Z,12Z))",HMDB0011151,8.43 (6.87-10.1),Infant (0-1 year old),,Normal
8381,LysoPE(P-16:0/0:0),HMDB0011152,,Adult (>18 years old),Both,Normal
8382,gamma-Glutamylisoleucine,HMDB0011170,,Adult (>18 years old),Both,Normal
8383,gamma-Glutamylleucine,HMDB0011171,,Adult (>18 years old),Both,Normal
8384,Isoleucylproline,HMDB0011174,,,,Normal
8385,Leucylproline,HMDB0011175,,,,Normal
8386,Prolylglycine,HMDB0011178,,,,Normal
8387,Brassicasterol,HMDB0011181,0.57 (0.25-1.8),Adult (>18 years old),Both,Normal
8388,O-Phosphothreonine,HMDB0011185,,,,Normal
8389,"PC(20:3(8Z,11Z,14Z)/20:1(11Z))",HMDB0011201,2.59 (2.16-3.19),Newborn (0-30 days old),,Normal
8390,"PC(20:3(8Z,11Z,14Z)/20:1(11Z))",HMDB0011201,3 (2.41-3.61),Infant (0-1 year old),,Normal
8391,"PC(20:3(8Z,11Z,14Z)/20:1(11Z))",HMDB0011201,4.16(1.34),Adult (>18 years old),Both,Normal
8392,"PC(20:3(8Z,11Z,14Z)/20:1(11Z))",HMDB0011201,3.15 +/- 0.74,Adult (>18 years old),Both,Normal
8393,PC(22:1(13Z)/18:1(11Z)),HMDB0011202,0.36 (0.05-1.88),Adolescent (13-18 years old),Both,Normal
8394,PC(22:1(13Z)/18:1(11Z)),HMDB0011202,0.25 (0.2-0.37),Newborn (0-30 days old),,Normal
8395,PC(22:1(13Z)/18:1(11Z)),HMDB0011202,0.29 (0.25-0.35),Infant (0-1 year old),,Normal
8396,PC(22:1(13Z)/18:1(11Z)),HMDB0011202,0.32 +/- 0.12,Adult (>18 years old),Both,Normal
8397,PC(P-16:0/14:0),HMDB0011203,2.99 (2.39-3.84),Infant (0-1 year old),,Normal
8398,PC(P-16:0/14:0),HMDB0011203,2.26 (0.33-4.11),Adolescent (13-18 years old),Both,Normal
8399,PC(P-16:0/14:0),HMDB0011203,5.12(2.19),Adult (>18 years old),Both,Normal
8400,PC(P-16:0/14:0),HMDB0011203,4.73 +/- 1.65,Adult (>18 years old),Both,Normal
8401,PC(P-16:0/14:0),HMDB0011203,2.95 (2.53-3.44),Newborn (0-30 days old),,Normal
8402,PC(P-16:0/16:0),HMDB0011206,13.6 (11.8-15.7),Infant (0-1 year old),,Normal
8403,PC(P-16:0/16:0),HMDB0011206,13.87 (0.11-42.20),Adolescent (13-18 years old),Both,Normal
8404,PC(P-16:0/16:0),HMDB0011206,15.3 (12.7-18.3),Newborn (0-30 days old),,Normal
8405,PC(P-16:0/16:0),HMDB0011206,15.1 +/- 3.01,Adult (>18 years old),Both,Normal
8406,PC(P-16:0/16:1(9Z)),HMDB0011207,16.6 +/- 7.90,Adult (>18 years old),Both,Normal
8407,PC(P-16:0/16:1(9Z)),HMDB0011207,10.1 (7.46-13.5),Infant (0-1 year old),,Normal
8408,PC(P-16:0/16:1(9Z)),HMDB0011207,10.42 (0.14-25.10),Adolescent (13-18 years old),Both,Normal
8409,PC(P-16:0/16:1(9Z)),HMDB0011207,12.1 (9.51-15.8),Newborn (0-30 days old),,Normal
8410,PC(P-16:0/18:1(11Z)),HMDB0011209,173 (145-199),Infant (0-1 year old),,Normal
8411,PC(P-16:0/18:1(11Z)),HMDB0011209,242.2 +/- 51.3,Adult (>18 years old),Both,Normal
8412,PC(P-16:0/18:1(11Z)),HMDB0011209,105 (91.8-119),Newborn (0-30 days old),,Normal
8413,PC(P-16:0/18:1(9Z)),HMDB0011210,173 (145-199),Infant (0-1 year old),,Normal
8414,PC(P-16:0/18:1(9Z)),HMDB0011210,242.2 +/- 51.3,Adult (>18 years old),Both,Normal
8415,PC(P-16:0/18:1(9Z)),HMDB0011210,105 (91.8-119),Newborn (0-30 days old),,Normal
8416,"PC(P-16:0/18:2(9Z,12Z))",HMDB0011211,315 (269-369),Infant (0-1 year old),,Normal
8417,"PC(P-16:0/18:2(9Z,12Z))",HMDB0011211,413.3 +/- 69.2,Adult (>18 years old),Both,Normal
8418,"PC(P-16:0/18:2(9Z,12Z))",HMDB0011211,409.32(87.37),Adult (>18 years old),Both,Normal
8419,"PC(P-16:0/18:2(9Z,12Z))",HMDB0011211,84.2 (71.2-101),Newborn (0-30 days old),,Normal
8420,"PC(P-16:0/18:3(6Z,9Z,12Z))",HMDB0011212,2.8 (2.33-3.53),Newborn (0-30 days old),,Normal
8421,"PC(P-16:0/18:3(6Z,9Z,12Z))",HMDB0011212,11 (8.46-13.9),Infant (0-1 year old),,Normal
8422,"PC(P-16:0/18:3(6Z,9Z,12Z))",HMDB0011212,15.9 +/- 4.61,Adult (>18 years old),Both,Normal
8423,"PC(P-16:0/18:3(6Z,9Z,12Z))",HMDB0011212,25.87(9.06),Adult (>18 years old),Both,Normal
8424,"PC(P-16:0/18:3(9Z,12Z,15Z))",HMDB0011213,2.8 (2.33-3.53),Newborn (0-30 days old),,Normal
8425,"PC(P-16:0/18:3(9Z,12Z,15Z))",HMDB0011213,11 (8.46-13.9),Infant (0-1 year old),,Normal
8426,"PC(P-16:0/18:3(9Z,12Z,15Z))",HMDB0011213,15.9 +/- 4.61,Adult (>18 years old),Both,Normal
8427,"PC(P-16:0/18:3(9Z,12Z,15Z))",HMDB0011213,25.87(9.06),Adult (>18 years old),Both,Normal
8428,"PC(P-16:0/18:4(6Z,9Z,12Z,15Z))",HMDB0011214,2.8 (2.33-3.53),Newborn (0-30 days old),,Normal
8429,"PC(P-16:0/18:4(6Z,9Z,12Z,15Z))",HMDB0011214,11 (8.46-13.9),Infant (0-1 year old),,Normal
8430,"PC(P-16:0/18:4(6Z,9Z,12Z,15Z))",HMDB0011214,15.9 +/- 4.61,Adult (>18 years old),Both,Normal
8431,"PC(P-16:0/18:4(6Z,9Z,12Z,15Z))",HMDB0011214,25.87(9.06),Adult (>18 years old),Both,Normal
8432,PC(P-16:0/20:0),HMDB0011215,1.55 (1.27-1.89),Newborn (0-30 days old),,Normal
8433,PC(P-16:0/20:0),HMDB0011215,1.38 (1.03-1.84),Infant (0-1 year old),,Normal
8434,PC(P-16:0/20:0),HMDB0011215,2.52 +/- 0.89,Adult (>18 years old),Both,Normal
8435,PC(P-16:0/20:0),HMDB0011215,3.14(1.2),Adult (>18 years old),Both,Normal
8436,PC(P-16:0/20:1(11Z)),HMDB0011216,19.8 (16.9-22.8),Newborn (0-30 days old),,Normal
8437,PC(P-16:0/20:1(11Z)),HMDB0011216,40.80 (33.8-47.9),Infant (0-1 year old),,Normal
8438,PC(P-16:0/20:1(11Z)),HMDB0011216,57.1 +/- 13.5,Adult (>18 years old),Both,Normal
8439,PC(P-16:0/20:1(11Z)),HMDB0011216,60.62(19.39),Adult (>18 years old),Both,Normal
8440,"PC(P-16:0/20:2(11Z,14Z))",HMDB0011217,44.5 (37.6-53.3),Newborn (0-30 days old),,Normal
8441,"PC(P-16:0/20:2(11Z,14Z))",HMDB0011217,212 (183-244),Infant (0-1 year old),,Normal
8442,"PC(P-16:0/20:2(11Z,14Z))",HMDB0011217,250.7 +/- 47.2,Adult (>18 years old),Both,Normal
8443,"PC(P-16:0/20:2(11Z,14Z))",HMDB0011217,267.03(66.1),Adult (>18 years old),Both,Normal
8444,"PC(P-16:0/20:3(5Z,8Z,11Z))",HMDB0011218,63.7 (53.6-73.5),Newborn (0-30 days old),,Normal
8445,"PC(P-16:0/20:3(5Z,8Z,11Z))",HMDB0011218,106 (89.5-120),Infant (0-1 year old),,Normal
8446,"PC(P-16:0/20:3(5Z,8Z,11Z))",HMDB0011218,129.9 +/- 26.4,Adult (>18 years old),Both,Normal
8447,"PC(P-16:0/20:3(5Z,8Z,11Z))",HMDB0011218,165.5(44.39),Adult (>18 years old),Both,Normal
8448,"PC(P-16:0/20:3(8Z,11Z,14Z))",HMDB0011219,63.7 (53.6-73.5),Newborn (0-30 days old),,Normal
8449,"PC(P-16:0/20:3(8Z,11Z,14Z))",HMDB0011219,106 (89.5-120),Infant (0-1 year old),,Normal
8450,"PC(P-16:0/20:3(8Z,11Z,14Z))",HMDB0011219,129.9 +/- 26.4,Adult (>18 years old),Both,Normal
8451,"PC(P-16:0/20:3(8Z,11Z,14Z))",HMDB0011219,165.5(44.39),Adult (>18 years old),Both,Normal
8452,"PC(P-16:0/20:4(8Z,11Z,14Z,17Z))",HMDB0011221,135 (118-151),Newborn (0-30 days old),,Normal
8453,"PC(P-16:0/20:4(8Z,11Z,14Z,17Z))",HMDB0011221,130 (111-150),Infant (0-1 year old),,Normal
8454,"PC(P-16:0/20:4(8Z,11Z,14Z,17Z))",HMDB0011221,189.4 +/- 38.8,Adult (>18 years old),Both,Normal
8455,"PC(P-16:0/20:4(8Z,11Z,14Z,17Z))",HMDB0011221,228.74(50.69),Adult (>18 years old),Both,Normal
8456,PC(P-16:0/22:0),HMDB0011223,1.46 (1.21-1.76),Newborn (0-30 days old),,Normal
8457,PC(P-16:0/22:0),HMDB0011223,3.48 +/- 0.95,Adult (>18 years old),Both,Normal
8458,PC(P-16:0/22:0),HMDB0011223,2.21 (1.85-2.71),Infant (0-1 year old),,Normal
8459,PC(P-16:0/22:1(13Z)),HMDB0011224,1.23 +/- 0.46,Adult (>18 years old),Both,Normal
8460,"PC(P-16:0/22:4(7Z,10Z,13Z,16Z))",HMDB0011226,90.4 (78.8-104),Newborn (0-30 days old),,Normal
8461,"PC(P-16:0/22:4(7Z,10Z,13Z,16Z))",HMDB0011226,76.6 (65.9-90.8),Infant (0-1 year old),,Normal
8462,"PC(P-16:0/22:4(7Z,10Z,13Z,16Z))",HMDB0011226,101.6 +/- 22.6,Adult (>18 years old),Both,Normal
8463,"PC(P-16:0/22:4(7Z,10Z,13Z,16Z))",HMDB0011226,147.79(39.15),Adult (>18 years old),Both,Normal
8464,"PC(P-16:0/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0011227,81.9(19.68),Adult (>18 years old),Both,Normal
8465,"PC(P-16:0/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0011227,21.8 (18.8-25.2),Newborn (0-30 days old),,Normal
8466,"PC(P-16:0/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0011227,36.2 (28.8-42.9),Infant (0-1 year old),,Normal
8467,"PC(P-16:0/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0011227,54.2 +/- 13.2,Adult (>18 years old),Both,Normal
8468,"PC(P-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0011229,103.41(31.68),Adult (>18 years old),Both,Normal
8469,"PC(P-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0011229,60.6 (50.1-72.9 ),Newborn (0-30 days old),,Normal
8470,"PC(P-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0011229,49.1 (37.8-60.8),Infant (0-1 year old),,Normal
8471,"PC(P-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0011229,88.0 +/- 25.0,Adult (>18 years old),Both,Normal
8472,PC(P-16:0/24:1(15Z)),HMDB0011231,0.44(0.12),Adult (>18 years old),Both,Normal
8473,PC(P-16:0/24:1(15Z)),HMDB0011231,0.35 (0.3-0.42),Newborn (0-30 days old),,Normal
8474,PC(P-16:0/24:1(15Z)),HMDB0011231,0.39 (0.33-0.45),Infant (0-1 year old),,Normal
8475,PC(P-16:0/24:1(15Z)),HMDB0011231,0.45 (0.30-1.42),Adolescent (13-18 years old),Both,Normal
8476,PC(P-16:0/24:1(15Z)),HMDB0011231,0.39 +/- 0.10,Adult (>18 years old),Both,Normal
8477,PC(P-16:0/P-16:0),HMDB0011232,15.3 (12.7-18.3),Newborn (0-30 days old),,Normal
8478,PC(P-16:0/P-16:0),HMDB0011232,13.6 (11.8-15.7),Infant (0-1 year old),,Normal
8479,PC(P-16:0/P-16:0),HMDB0011232,13.87 (0.11-42.20),Adolescent (13-18 years old),Both,Normal
8480,PC(P-16:0/P-16:0),HMDB0011232,15.1 +/- 3.01,Adult (>18 years old),Both,Normal
8481,PC(P-16:0/P-18:1(11Z)),HMDB0011234,105 (91.8-119),Newborn (0-30 days old),,Normal
8482,PC(P-16:0/P-18:1(11Z)),HMDB0011234,242.2 +/- 51.3,Adult (>18 years old),Both,Normal
8483,PC(P-16:0/P-18:1(11Z)),HMDB0011234,173 (145-199),Infant (0-1 year old),,Normal
8484,PC(P-16:0/P-18:1(9Z)),HMDB0011235,105 (91.8-119),Newborn (0-30 days old),,Normal
8485,PC(P-16:0/P-18:1(9Z)),HMDB0011235,242.2 +/- 51.3,Adult (>18 years old),Both,Normal
8486,PC(P-16:0/P-18:1(9Z)),HMDB0011235,173 (145-199),Infant (0-1 year old),,Normal
8487,PC(P-18:0/14:0),HMDB0011236,15.3 (12.7-18.3),Newborn (0-30 days old),,Normal
8488,PC(P-18:0/14:0),HMDB0011236,13.6 (11.8-15.7),Infant (0-1 year old),,Normal
8489,PC(P-18:0/14:0),HMDB0011236,13.87 (0.11-42.20),Adolescent (13-18 years old),Both,Normal
8490,PC(P-18:0/14:0),HMDB0011236,15.1 +/- 3.01,Adult (>18 years old),Both,Normal
8491,PC(P-18:0/14:1(9Z)),HMDB0011237,16.6 +/- 7.90,Adult (>18 years old),Both,Normal
8492,PC(P-18:0/14:1(9Z)),HMDB0011237,12.1 (9.51-15.8),Newborn (0-30 days old),,Normal
8493,PC(P-18:0/14:1(9Z)),HMDB0011237,10.1 (7.46-13.5),Infant (0-1 year old),,Normal
8494,PC(P-18:0/14:1(9Z)),HMDB0011237,10.42 (0.14-25.10),Adolescent (13-18 years old),Both,Normal
8495,PC(P-18:0/16:1(9Z)),HMDB0011240,105 (91.8-119),Newborn (0-30 days old),,Normal
8496,PC(P-18:0/16:1(9Z)),HMDB0011240,242.2 +/- 51.3,Adult (>18 years old),Both,Normal
8497,PC(P-18:0/16:1(9Z)),HMDB0011240,173 (145-199),Infant (0-1 year old),,Normal
8498,PC(P-18:0/18:0),HMDB0011241,3.14(1.2),Adult (>18 years old),Both,Normal
8499,PC(P-18:0/18:0),HMDB0011241,1.55 (1.27-1.89),Newborn (0-30 days old),,Normal
8500,PC(P-18:0/18:0),HMDB0011241,1.38 (1.03-1.84),Infant (0-1 year old),,Normal
8501,PC(P-18:0/18:0),HMDB0011241,2.52 +/- 0.89,Adult (>18 years old),Both,Normal
8502,PC(P-18:0/18:1(11Z)),HMDB0011242,60.62(19.39),Adult (>18 years old),Both,Normal
8503,PC(P-18:0/18:1(11Z)),HMDB0011242,19.8 (16.9-22.8),Newborn (0-30 days old),,Normal
8504,PC(P-18:0/18:1(11Z)),HMDB0011242,40.80 (33.8-47.9),Infant (0-1 year old),,Normal
8505,PC(P-18:0/18:1(11Z)),HMDB0011242,57.1 +/- 13.5,Adult (>18 years old),Both,Normal
8506,PC(P-18:0/18:1(9Z)),HMDB0011243,60.62(19.39),Adult (>18 years old),Both,Normal
8507,PC(P-18:0/18:1(9Z)),HMDB0011243,19.8 (16.9-22.8),Newborn (0-30 days old),,Normal
8508,PC(P-18:0/18:1(9Z)),HMDB0011243,40.80 (33.8-47.9),Infant (0-1 year old),,Normal
8509,PC(P-18:0/18:1(9Z)),HMDB0011243,57.1 +/- 13.5,Adult (>18 years old),Both,Normal
8510,"PC(P-18:0/18:2(9Z,12Z))",HMDB0011244,267.03(66.1),Adult (>18 years old),Both,Normal
8511,"PC(P-18:0/18:2(9Z,12Z))",HMDB0011244,44.5 (37.6-53.3),Newborn (0-30 days old),,Normal
8512,"PC(P-18:0/18:2(9Z,12Z))",HMDB0011244,212 (183-244),Infant (0-1 year old),,Normal
8513,"PC(P-18:0/18:2(9Z,12Z))",HMDB0011244,250.7 +/- 47.2,Adult (>18 years old),Both,Normal
8514,"PC(P-18:0/18:3(6Z,9Z,12Z))",HMDB0011245,165.5(44.39),Adult (>18 years old),Both,Normal
8515,"PC(P-18:0/18:3(6Z,9Z,12Z))",HMDB0011245,63.7 (53.6-73.5),Newborn (0-30 days old),,Normal
8516,"PC(P-18:0/18:3(6Z,9Z,12Z))",HMDB0011245,106 (89.5-120),Infant (0-1 year old),,Normal
8517,"PC(P-18:0/18:3(6Z,9Z,12Z))",HMDB0011245,129.9 +/- 26.4,Adult (>18 years old),Both,Normal
8518,"PC(P-18:0/18:3(9Z,12Z,15Z))",HMDB0011246,165.5(44.39),Adult (>18 years old),Both,Normal
8519,"PC(P-18:0/18:3(9Z,12Z,15Z))",HMDB0011246,63.7 (53.6-73.5),Newborn (0-30 days old),,Normal
8520,"PC(P-18:0/18:3(9Z,12Z,15Z))",HMDB0011246,106 (89.5-120),Infant (0-1 year old),,Normal
8521,"PC(P-18:0/18:3(9Z,12Z,15Z))",HMDB0011246,129.9 +/- 26.4,Adult (>18 years old),Both,Normal
8522,"PC(P-18:0/18:4(6Z,9Z,12Z,15Z))",HMDB0011247,228.74(50.69),Adult (>18 years old),Both,Normal
8523,"PC(P-18:0/18:4(6Z,9Z,12Z,15Z))",HMDB0011247,135 (118-151),Newborn (0-30 days old),,Normal
8524,"PC(P-18:0/18:4(6Z,9Z,12Z,15Z))",HMDB0011247,130 (111-150),Infant (0-1 year old),,Normal
8525,"PC(P-18:0/18:4(6Z,9Z,12Z,15Z))",HMDB0011247,189.4 +/- 38.8,Adult (>18 years old),Both,Normal
