,Name,Accession,Value(uM),Patient Age,Patient Sex,Patient Information
20338,CL(i-13:0/i-15:0/i-13:0/a-13:0)[rac],HMDB0085900,,Children (1-13 years old),Both,Barth Syndrome
20339,CL(a-13:0/i-15:0/i-13:0/a-13:0)[rac],HMDB0085901,,Children (1-13 years old),Both,Barth Syndrome
20340,CL(i-13:0/i-15:0/i-13:0/i-14:0),HMDB0085902,,Children (1-13 years old),Both,Barth Syndrome
20341,CL(a-13:0/a-15:0/a-13:0/i-14:0)[rac],HMDB0085903,,Children (1-13 years old),Both,Barth Syndrome
20342,CL(a-13:0/i-15:0/a-13:0/i-14:0)[rac],HMDB0085904,,Children (1-13 years old),Both,Barth Syndrome
20343,CL(i-13:0/i-15:0/a-13:0/i-14:0)[rac],HMDB0085905,,Children (1-13 years old),Both,Barth Syndrome
20344,CL(a-13:0/a-15:0/i-13:0/i-14:0)[rac],HMDB0085906,,Children (1-13 years old),Both,Barth Syndrome
20345,CL(a-13:0/i-15:0/i-13:0/i-14:0)[rac],HMDB0085907,,Children (1-13 years old),Both,Barth Syndrome
20346,CL(i-13:0/a-15:0/a-13:0/i-14:0)[rac],HMDB0085908,,Children (1-13 years old),Both,Barth Syndrome
20347,CL(i-13:0/a-15:0/i-13:0/i-14:0)[rac],HMDB0085909,,Children (1-13 years old),Both,Barth Syndrome
20348,CL(a-13:0/a-15:0/a-13:0/a-15:0)[rac],HMDB0085910,,Children (1-13 years old),Both,Barth Syndrome
20349,CL(i-13:0/a-15:0/i-13:0/a-15:0)[rac],HMDB0085911,,Children (1-13 years old),Both,Barth Syndrome
20350,CL(i-13:0/i-15:0/i-13:0/i-15:0),HMDB0085912,,Children (1-13 years old),Both,Barth Syndrome
20351,CL(a-13:0/a-15:0/a-13:0/i-15:0)[rac],HMDB0085913,,Children (1-13 years old),Both,Barth Syndrome
20352,CL(a-13:0/i-15:0/a-13:0/i-15:0)[rac],HMDB0085914,,Children (1-13 years old),Both,Barth Syndrome
20353,CL(i-13:0/i-15:0/a-13:0/i-15:0)[rac],HMDB0085915,,Children (1-13 years old),Both,Barth Syndrome
20354,CL(a-13:0/a-15:0/i-13:0/i-15:0)[rac],HMDB0085916,,Children (1-13 years old),Both,Barth Syndrome
20355,CL(i-13:0/a-15:0/a-13:0/a-15:0)[rac],HMDB0085917,,Children (1-13 years old),Both,Barth Syndrome
20356,CL(a-13:0/i-15:0/i-13:0/i-15:0)[rac],HMDB0085918,,Children (1-13 years old),Both,Barth Syndrome
20357,CL(a-13:0/a-15:0/i-13:0/a-15:0)[rac],HMDB0085919,,Children (1-13 years old),Both,Barth Syndrome
20358,CL(i-13:0/i-15:0/a-13:0/a-15:0)[rac],HMDB0085920,,Children (1-13 years old),Both,Barth Syndrome
20359,CL(i-13:0/a-15:0/a-13:0/i-15:0)[rac],HMDB0085921,,Children (1-13 years old),Both,Barth Syndrome
20360,CL(a-13:0/i-15:0/a-13:0/a-15:0)[rac],HMDB0085922,,Children (1-13 years old),Both,Barth Syndrome
20361,CL(i-13:0/a-15:0/i-13:0/i-15:0)[rac],HMDB0085923,,Children (1-13 years old),Both,Barth Syndrome
20362,CL(i-13:0/i-15:0/i-13:0/a-15:0)[rac],HMDB0085924,,Children (1-13 years old),Both,Barth Syndrome
20363,CL(a-13:0/i-15:0/i-13:0/a-15:0)[rac],HMDB0085925,,Children (1-13 years old),Both,Barth Syndrome
20364,CL(i-13:0/i-15:0/i-13:0/i-16:0),HMDB0085926,,Children (1-13 years old),Both,Barth Syndrome
20365,CL(a-13:0/a-15:0/a-13:0/i-16:0)[rac],HMDB0085927,,Children (1-13 years old),Both,Barth Syndrome
20366,CL(a-13:0/i-15:0/a-13:0/i-16:0)[rac],HMDB0085928,,Children (1-13 years old),Both,Barth Syndrome
20367,CL(i-13:0/i-15:0/a-13:0/i-16:0)[rac],HMDB0085929,,Children (1-13 years old),Both,Barth Syndrome
20368,CL(a-13:0/a-15:0/i-13:0/i-16:0)[rac],HMDB0085930,,Children (1-13 years old),Both,Barth Syndrome
20369,CL(a-13:0/i-15:0/i-13:0/i-16:0)[rac],HMDB0085931,,Children (1-13 years old),Both,Barth Syndrome
20370,CL(i-13:0/a-15:0/a-13:0/i-16:0)[rac],HMDB0085932,,Children (1-13 years old),Both,Barth Syndrome
20371,CL(i-13:0/a-15:0/i-13:0/i-16:0)[rac],HMDB0085933,,Children (1-13 years old),Both,Barth Syndrome
20372,CL(a-13:0/a-15:0/a-13:0/a-17:0)[rac],HMDB0085934,,Children (1-13 years old),Both,Barth Syndrome
20373,CL(i-13:0/a-15:0/i-13:0/a-17:0)[rac],HMDB0085935,,Children (1-13 years old),Both,Barth Syndrome
20374,CL(i-13:0/i-15:0/i-13:0/i-17:0),HMDB0085936,,Children (1-13 years old),Both,Barth Syndrome
20375,CL(a-13:0/a-15:0/a-13:0/i-17:0)[rac],HMDB0085937,,Children (1-13 years old),Both,Barth Syndrome
20376,CL(a-13:0/i-15:0/a-13:0/i-17:0)[rac],HMDB0085938,,Children (1-13 years old),Both,Barth Syndrome
20377,CL(i-13:0/i-15:0/a-13:0/i-17:0)[rac],HMDB0085939,,Children (1-13 years old),Both,Barth Syndrome
20378,CL(a-13:0/a-15:0/i-13:0/i-17:0)[rac],HMDB0085940,,Children (1-13 years old),Both,Barth Syndrome
20379,CL(i-13:0/a-15:0/a-13:0/a-17:0)[rac],HMDB0085941,,Children (1-13 years old),Both,Barth Syndrome
20380,CL(a-13:0/i-15:0/i-13:0/i-17:0)[rac],HMDB0085942,,Children (1-13 years old),Both,Barth Syndrome
20381,CL(a-13:0/a-15:0/i-13:0/a-17:0)[rac],HMDB0085943,,Children (1-13 years old),Both,Barth Syndrome
20382,CL(i-13:0/i-15:0/a-13:0/a-17:0)[rac],HMDB0085944,,Children (1-13 years old),Both,Barth Syndrome
20383,CL(i-13:0/a-15:0/a-13:0/i-17:0)[rac],HMDB0085945,,Children (1-13 years old),Both,Barth Syndrome
20384,CL(a-13:0/i-15:0/a-13:0/a-17:0)[rac],HMDB0085946,,Children (1-13 years old),Both,Barth Syndrome
20385,CL(i-13:0/a-15:0/i-13:0/i-17:0)[rac],HMDB0085947,,Children (1-13 years old),Both,Barth Syndrome
20386,CL(i-13:0/i-15:0/i-13:0/a-17:0)[rac],HMDB0085948,,Children (1-13 years old),Both,Barth Syndrome
20387,CL(a-13:0/i-15:0/i-13:0/a-17:0)[rac],HMDB0085949,,Children (1-13 years old),Both,Barth Syndrome
20388,"CL(i-13:0/i-15:0/i-13:0/18:2(9Z,11Z))",HMDB0085950,,Children (1-13 years old),Both,Barth Syndrome
20389,"CL(a-13:0/a-15:0/a-13:0/18:2(9Z,11Z))[rac]",HMDB0085951,,Children (1-13 years old),Both,Barth Syndrome
20390,"CL(i-13:0/a-15:0/i-13:0/18:2(9Z,11Z))[rac]",HMDB0085952,,Children (1-13 years old),Both,Barth Syndrome
20391,CL(i-13:0/i-15:0/i-13:0/i-18:0),HMDB0085953,,Children (1-13 years old),Both,Barth Syndrome
20392,CL(a-13:0/a-15:0/a-13:0/i-18:0)[rac],HMDB0085954,,Children (1-13 years old),Both,Barth Syndrome
20393,CL(a-13:0/i-15:0/a-13:0/i-18:0)[rac],HMDB0085955,,Children (1-13 years old),Both,Barth Syndrome
20394,CL(i-13:0/i-15:0/a-13:0/i-18:0)[rac],HMDB0085956,,Children (1-13 years old),Both,Barth Syndrome
20395,"CL(a-13:0/i-15:0/i-13:0/18:2(9Z,11Z))[rac]",HMDB0085957,,Children (1-13 years old),Both,Barth Syndrome
20396,"CL(a-13:0/i-15:0/a-13:0/18:2(9Z,11Z))[rac]",HMDB0085958,,Children (1-13 years old),Both,Barth Syndrome
20397,CL(a-13:0/a-15:0/i-13:0/i-18:0)[rac],HMDB0085959,,Children (1-13 years old),Both,Barth Syndrome
20398,"CL(i-13:0/i-15:0/a-13:0/18:2(9Z,11Z))[rac]",HMDB0085960,,Children (1-13 years old),Both,Barth Syndrome
20399,CL(a-13:0/i-15:0/i-13:0/i-18:0)[rac],HMDB0085961,,Children (1-13 years old),Both,Barth Syndrome
20400,"CL(i-13:0/a-15:0/a-13:0/18:2(9Z,11Z))[rac]",HMDB0085962,,Children (1-13 years old),Both,Barth Syndrome
20401,"CL(a-13:0/a-15:0/i-13:0/18:2(9Z,11Z))[rac]",HMDB0085963,,Children (1-13 years old),Both,Barth Syndrome
20402,CL(i-13:0/a-15:0/a-13:0/i-18:0)[rac],HMDB0085964,,Children (1-13 years old),Both,Barth Syndrome
20403,CL(i-13:0/a-15:0/i-13:0/i-18:0)[rac],HMDB0085965,,Children (1-13 years old),Both,Barth Syndrome
20404,CL(i-13:0/i-15:0/i-13:0/i-19:0),HMDB0085966,,Children (1-13 years old),Both,Barth Syndrome
20405,CL(a-13:0/a-15:0/a-13:0/i-19:0)[rac],HMDB0085967,,Children (1-13 years old),Both,Barth Syndrome
20406,CL(a-13:0/i-15:0/a-13:0/i-19:0)[rac],HMDB0085968,,Children (1-13 years old),Both,Barth Syndrome
20407,CL(i-13:0/i-15:0/a-13:0/i-19:0)[rac],HMDB0085969,,Children (1-13 years old),Both,Barth Syndrome
20408,CL(a-13:0/a-15:0/i-13:0/i-19:0)[rac],HMDB0085970,,Children (1-13 years old),Both,Barth Syndrome
20409,CL(a-13:0/i-15:0/i-13:0/i-19:0)[rac],HMDB0085971,,Children (1-13 years old),Both,Barth Syndrome
20410,CL(i-13:0/a-15:0/a-13:0/i-19:0)[rac],HMDB0085972,,Children (1-13 years old),Both,Barth Syndrome
20411,CL(i-13:0/a-15:0/i-13:0/i-19:0)[rac],HMDB0085973,,Children (1-13 years old),Both,Barth Syndrome
20412,CL(i-13:0/i-15:0/i-13:0/i-20:0),HMDB0085974,,Children (1-13 years old),Both,Barth Syndrome
20413,CL(a-13:0/a-15:0/a-13:0/i-20:0)[rac],HMDB0085975,,Children (1-13 years old),Both,Barth Syndrome
20414,CL(a-13:0/i-15:0/a-13:0/i-20:0)[rac],HMDB0085976,,Children (1-13 years old),Both,Barth Syndrome
20415,CL(i-13:0/i-15:0/a-13:0/i-20:0)[rac],HMDB0085977,,Children (1-13 years old),Both,Barth Syndrome
20416,CL(a-13:0/a-15:0/i-13:0/i-20:0)[rac],HMDB0085978,,Children (1-13 years old),Both,Barth Syndrome
20417,CL(a-13:0/i-15:0/i-13:0/i-20:0)[rac],HMDB0085979,,Children (1-13 years old),Both,Barth Syndrome
20418,CL(i-13:0/a-15:0/a-13:0/i-20:0)[rac],HMDB0085980,,Children (1-13 years old),Both,Barth Syndrome
20419,CL(i-13:0/a-15:0/i-13:0/i-20:0)[rac],HMDB0085981,,Children (1-13 years old),Both,Barth Syndrome
20420,CL(a-13:0/a-15:0/a-13:0/a-21:0)[rac],HMDB0085982,,Children (1-13 years old),Both,Barth Syndrome
20421,CL(i-13:0/a-15:0/i-13:0/a-21:0)[rac],HMDB0085983,,Children (1-13 years old),Both,Barth Syndrome
20422,CL(i-13:0/i-15:0/i-13:0/i-21:0),HMDB0085984,,Children (1-13 years old),Both,Barth Syndrome
20423,CL(a-13:0/a-15:0/a-13:0/i-21:0)[rac],HMDB0085985,,Children (1-13 years old),Both,Barth Syndrome
20424,CL(a-13:0/i-15:0/a-13:0/i-21:0)[rac],HMDB0085986,,Children (1-13 years old),Both,Barth Syndrome
20425,CL(i-13:0/i-15:0/a-13:0/i-21:0)[rac],HMDB0085987,,Children (1-13 years old),Both,Barth Syndrome
20426,CL(a-13:0/a-15:0/i-13:0/i-21:0)[rac],HMDB0085988,,Children (1-13 years old),Both,Barth Syndrome
20427,CL(i-13:0/a-15:0/a-13:0/a-21:0)[rac],HMDB0085989,,Children (1-13 years old),Both,Barth Syndrome
20428,CL(a-13:0/i-15:0/i-13:0/i-21:0)[rac],HMDB0085990,,Children (1-13 years old),Both,Barth Syndrome
20429,CL(a-13:0/a-15:0/i-13:0/a-21:0)[rac],HMDB0085991,,Children (1-13 years old),Both,Barth Syndrome
20430,CL(i-13:0/i-15:0/a-13:0/a-21:0)[rac],HMDB0085992,,Children (1-13 years old),Both,Barth Syndrome
20431,CL(i-13:0/a-15:0/a-13:0/i-21:0)[rac],HMDB0085993,,Children (1-13 years old),Both,Barth Syndrome
20432,CL(a-13:0/i-15:0/a-13:0/a-21:0)[rac],HMDB0085994,,Children (1-13 years old),Both,Barth Syndrome
20433,CL(i-13:0/a-15:0/i-13:0/i-21:0)[rac],HMDB0085995,,Children (1-13 years old),Both,Barth Syndrome
20434,CL(i-13:0/i-15:0/i-13:0/a-21:0)[rac],HMDB0085996,,Children (1-13 years old),Both,Barth Syndrome
20435,CL(a-13:0/i-15:0/i-13:0/a-21:0)[rac],HMDB0085997,,Children (1-13 years old),Both,Barth Syndrome
20436,CL(i-13:0/i-15:0/i-13:0/i-22:0),HMDB0085998,,Children (1-13 years old),Both,Barth Syndrome
20437,CL(a-13:0/a-15:0/a-13:0/i-22:0)[rac],HMDB0085999,,Children (1-13 years old),Both,Barth Syndrome
20438,CL(a-13:0/i-15:0/a-13:0/i-22:0)[rac],HMDB0086000,,Children (1-13 years old),Both,Barth Syndrome
20439,CL(i-13:0/i-15:0/a-13:0/i-22:0)[rac],HMDB0086001,,Children (1-13 years old),Both,Barth Syndrome
20440,CL(a-13:0/a-15:0/i-13:0/i-22:0)[rac],HMDB0086002,,Children (1-13 years old),Both,Barth Syndrome
20441,CL(a-13:0/i-15:0/i-13:0/i-22:0)[rac],HMDB0086003,,Children (1-13 years old),Both,Barth Syndrome
20442,CL(i-13:0/a-15:0/a-13:0/i-22:0)[rac],HMDB0086004,,Children (1-13 years old),Both,Barth Syndrome
20443,CL(i-13:0/a-15:0/i-13:0/i-22:0)[rac],HMDB0086005,,Children (1-13 years old),Both,Barth Syndrome
20444,CL(i-13:0/i-15:0/i-13:0/i-24:0),HMDB0086006,,Children (1-13 years old),Both,Barth Syndrome
20445,CL(a-13:0/a-15:0/a-13:0/i-24:0)[rac],HMDB0086007,,Children (1-13 years old),Both,Barth Syndrome
20446,CL(a-13:0/i-15:0/a-13:0/i-24:0)[rac],HMDB0086008,,Children (1-13 years old),Both,Barth Syndrome
20447,CL(i-13:0/i-15:0/a-13:0/i-24:0)[rac],HMDB0086009,,Children (1-13 years old),Both,Barth Syndrome
20448,CL(a-13:0/i-15:0/i-13:0/i-24:0)[rac],HMDB0086010,,Children (1-13 years old),Both,Barth Syndrome
20449,CL(i-13:0/a-15:0/a-13:0/i-24:0)[rac],HMDB0086011,,Children (1-13 years old),Both,Barth Syndrome
20450,CL(i-13:0/a-15:0/i-13:0/i-24:0)[rac],HMDB0086012,,Children (1-13 years old),Both,Barth Syndrome
20451,CL(a-13:0/a-15:0/a-13:0/a-25:0)[rac],HMDB0086013,,Children (1-13 years old),Both,Barth Syndrome
20452,CL(i-13:0/a-15:0/i-13:0/a-25:0)[rac],HMDB0086014,,Children (1-13 years old),Both,Barth Syndrome
20453,CL(i-13:0/a-15:0/a-13:0/a-25:0)[rac],HMDB0086015,,Children (1-13 years old),Both,Barth Syndrome
20454,CL(a-13:0/a-15:0/i-13:0/a-25:0)[rac],HMDB0086016,,Children (1-13 years old),Both,Barth Syndrome
20455,CL(i-13:0/i-15:0/a-13:0/a-25:0)[rac],HMDB0086017,,Children (1-13 years old),Both,Barth Syndrome
20456,CL(a-13:0/i-15:0/a-13:0/a-25:0)[rac],HMDB0086018,,Children (1-13 years old),Both,Barth Syndrome
20457,CL(i-13:0/i-15:0/i-13:0/a-25:0)[rac],HMDB0086019,,Children (1-13 years old),Both,Barth Syndrome
20458,CL(a-13:0/i-15:0/i-13:0/a-25:0)[rac],HMDB0086020,,Children (1-13 years old),Both,Barth Syndrome
20459,CL(i-13:0/i-15:0/i-14:0/i-12:0),HMDB0086021,,Children (1-13 years old),Both,Barth Syndrome
20460,CL(a-13:0/a-15:0/i-14:0/i-12:0)[rac],HMDB0086022,,Children (1-13 years old),Both,Barth Syndrome
20461,CL(a-13:0/i-15:0/i-14:0/i-12:0)[rac],HMDB0086023,,Children (1-13 years old),Both,Barth Syndrome
20462,CL(i-13:0/a-15:0/i-14:0/i-12:0)[rac],HMDB0086024,,Children (1-13 years old),Both,Barth Syndrome
20463,CL(i-13:0/a-15:0/i-14:0/a-13:0)[rac],HMDB0086025,,Children (1-13 years old),Both,Barth Syndrome
20464,CL(i-13:0/i-15:0/i-14:0/i-13:0),HMDB0086026,,Children (1-13 years old),Both,Barth Syndrome
20465,CL(a-13:0/a-15:0/i-14:0/i-13:0)[rac],HMDB0086027,,Children (1-13 years old),Both,Barth Syndrome
20466,CL(a-13:0/i-15:0/i-14:0/i-13:0)[rac],HMDB0086028,,Children (1-13 years old),Both,Barth Syndrome
20467,CL(a-13:0/a-15:0/i-14:0/a-13:0)[rac],HMDB0086029,,Children (1-13 years old),Both,Barth Syndrome
20468,CL(i-13:0/a-15:0/i-14:0/i-13:0)[rac],HMDB0086030,,Children (1-13 years old),Both,Barth Syndrome
20469,CL(i-13:0/i-15:0/i-14:0/a-13:0)[rac],HMDB0086031,,Children (1-13 years old),Both,Barth Syndrome
20470,CL(a-13:0/i-15:0/i-14:0/a-13:0)[rac],HMDB0086032,,Children (1-13 years old),Both,Barth Syndrome
20471,CL(i-13:0/i-15:0/i-14:0/i-14:0),HMDB0086033,,Children (1-13 years old),Both,Barth Syndrome
20472,CL(a-13:0/a-15:0/i-14:0/i-14:0)[rac],HMDB0086034,,Children (1-13 years old),Both,Barth Syndrome
20473,CL(a-13:0/i-15:0/i-14:0/i-14:0)[rac],HMDB0086035,,Children (1-13 years old),Both,Barth Syndrome
20474,CL(i-13:0/a-15:0/i-14:0/i-14:0)[rac],HMDB0086036,,Children (1-13 years old),Both,Barth Syndrome
20475,CL(i-13:0/a-15:0/i-14:0/a-15:0)[rac],HMDB0086037,,Children (1-13 years old),Both,Barth Syndrome
20476,CL(i-13:0/i-15:0/i-14:0/i-15:0),HMDB0086038,,Children (1-13 years old),Both,Barth Syndrome
20477,CL(a-13:0/a-15:0/i-14:0/i-15:0)[rac],HMDB0086039,,Children (1-13 years old),Both,Barth Syndrome
20478,CL(a-13:0/i-15:0/i-14:0/i-15:0)[rac],HMDB0086040,,Children (1-13 years old),Both,Barth Syndrome
20479,CL(a-13:0/a-15:0/i-14:0/a-15:0)[rac],HMDB0086041,,Children (1-13 years old),Both,Barth Syndrome
20480,CL(i-13:0/a-15:0/i-14:0/i-15:0)[rac],HMDB0086042,,Children (1-13 years old),Both,Barth Syndrome
20481,CL(i-13:0/i-15:0/i-14:0/a-15:0)[rac],HMDB0086043,,Children (1-13 years old),Both,Barth Syndrome
20482,CL(a-13:0/i-15:0/i-14:0/a-15:0)[rac],HMDB0086044,,Children (1-13 years old),Both,Barth Syndrome
20483,CL(i-13:0/i-15:0/i-14:0/i-16:0),HMDB0086045,,Children (1-13 years old),Both,Barth Syndrome
20484,CL(a-13:0/a-15:0/i-14:0/i-16:0)[rac],HMDB0086046,,Children (1-13 years old),Both,Barth Syndrome
20485,CL(a-13:0/i-15:0/i-14:0/i-16:0)[rac],HMDB0086047,,Children (1-13 years old),Both,Barth Syndrome
20486,CL(i-13:0/a-15:0/i-14:0/i-16:0)[rac],HMDB0086048,,Children (1-13 years old),Both,Barth Syndrome
20487,CL(i-13:0/a-15:0/i-14:0/a-17:0)[rac],HMDB0086049,,Children (1-13 years old),Both,Barth Syndrome
20488,CL(i-13:0/i-15:0/i-14:0/i-17:0),HMDB0086050,,Children (1-13 years old),Both,Barth Syndrome
20489,CL(a-13:0/a-15:0/i-14:0/i-17:0)[rac],HMDB0086051,,Children (1-13 years old),Both,Barth Syndrome
20490,CL(a-13:0/i-15:0/i-14:0/i-17:0)[rac],HMDB0086052,,Children (1-13 years old),Both,Barth Syndrome
20491,CL(a-13:0/a-15:0/i-14:0/a-17:0)[rac],HMDB0086053,,Children (1-13 years old),Both,Barth Syndrome
20492,CL(i-13:0/a-15:0/i-14:0/i-17:0)[rac],HMDB0086054,,Children (1-13 years old),Both,Barth Syndrome
20493,CL(i-13:0/i-15:0/i-14:0/a-17:0)[rac],HMDB0086055,,Children (1-13 years old),Both,Barth Syndrome
20494,CL(a-13:0/i-15:0/i-14:0/a-17:0)[rac],HMDB0086056,,Children (1-13 years old),Both,Barth Syndrome
20495,"CL(i-13:0/i-15:0/i-14:0/18:2(9Z,11Z))",HMDB0086057,,Children (1-13 years old),Both,Barth Syndrome
20496,"CL(i-13:0/a-15:0/i-14:0/18:2(9Z,11Z))[rac]",HMDB0086058,,Children (1-13 years old),Both,Barth Syndrome
20497,CL(i-13:0/i-15:0/i-14:0/i-18:0),HMDB0086059,,Children (1-13 years old),Both,Barth Syndrome
20498,"CL(a-13:0/i-15:0/i-14:0/18:2(9Z,11Z))[rac]",HMDB0086060,,Children (1-13 years old),Both,Barth Syndrome
20499,CL(a-13:0/a-15:0/i-14:0/i-18:0)[rac],HMDB0086061,,Children (1-13 years old),Both,Barth Syndrome
20500,CL(a-13:0/i-15:0/i-14:0/i-18:0)[rac],HMDB0086062,,Children (1-13 years old),Both,Barth Syndrome
20501,"CL(a-13:0/a-15:0/i-14:0/18:2(9Z,11Z))[rac]",HMDB0086063,,Children (1-13 years old),Both,Barth Syndrome
20502,CL(i-13:0/a-15:0/i-14:0/i-18:0)[rac],HMDB0086064,,Children (1-13 years old),Both,Barth Syndrome
20503,CL(i-13:0/i-15:0/i-14:0/i-19:0),HMDB0086065,,Children (1-13 years old),Both,Barth Syndrome
20504,CL(a-13:0/a-15:0/i-14:0/i-19:0)[rac],HMDB0086066,,Children (1-13 years old),Both,Barth Syndrome
20505,CL(a-13:0/i-15:0/i-14:0/i-19:0)[rac],HMDB0086067,,Children (1-13 years old),Both,Barth Syndrome
20506,CL(i-13:0/a-15:0/i-14:0/i-19:0)[rac],HMDB0086068,,Children (1-13 years old),Both,Barth Syndrome
20507,CL(i-13:0/i-15:0/i-14:0/i-20:0),HMDB0086069,,Children (1-13 years old),Both,Barth Syndrome
20508,CL(a-13:0/a-15:0/i-14:0/i-20:0)[rac],HMDB0086070,,Children (1-13 years old),Both,Barth Syndrome
20509,CL(a-13:0/i-15:0/i-14:0/i-20:0)[rac],HMDB0086071,,Children (1-13 years old),Both,Barth Syndrome
20510,CL(i-13:0/a-15:0/i-14:0/i-20:0)[rac],HMDB0086072,,Children (1-13 years old),Both,Barth Syndrome
20511,CL(i-13:0/a-15:0/i-14:0/a-21:0)[rac],HMDB0086073,,Children (1-13 years old),Both,Barth Syndrome
20512,CL(i-13:0/i-15:0/i-14:0/i-21:0),HMDB0086074,,Children (1-13 years old),Both,Barth Syndrome
20513,CL(a-13:0/a-15:0/i-14:0/i-21:0)[rac],HMDB0086075,,Children (1-13 years old),Both,Barth Syndrome
20514,CL(a-13:0/i-15:0/i-14:0/i-21:0)[rac],HMDB0086076,,Children (1-13 years old),Both,Barth Syndrome
20515,CL(a-13:0/a-15:0/i-14:0/a-21:0)[rac],HMDB0086077,,Children (1-13 years old),Both,Barth Syndrome
20516,CL(i-13:0/a-15:0/i-14:0/i-21:0)[rac],HMDB0086078,,Children (1-13 years old),Both,Barth Syndrome
20517,CL(i-13:0/i-15:0/i-14:0/a-21:0)[rac],HMDB0086079,,Children (1-13 years old),Both,Barth Syndrome
20518,CL(a-13:0/i-15:0/i-14:0/a-21:0)[rac],HMDB0086080,,Children (1-13 years old),Both,Barth Syndrome
20519,CL(i-13:0/i-15:0/i-14:0/i-22:0),HMDB0086081,,Children (1-13 years old),Both,Barth Syndrome
20520,CL(a-13:0/a-15:0/i-14:0/i-22:0)[rac],HMDB0086082,,Children (1-13 years old),Both,Barth Syndrome
20521,CL(a-13:0/i-15:0/i-14:0/i-22:0)[rac],HMDB0086083,,Children (1-13 years old),Both,Barth Syndrome
20522,CL(i-13:0/a-15:0/i-14:0/i-22:0)[rac],HMDB0086084,,Children (1-13 years old),Both,Barth Syndrome
20523,CL(i-13:0/i-15:0/i-14:0/i-24:0),HMDB0086085,,Children (1-13 years old),Both,Barth Syndrome
20524,CL(a-13:0/a-15:0/i-14:0/i-24:0)[rac],HMDB0086086,,Children (1-13 years old),Both,Barth Syndrome
20525,CL(a-13:0/i-15:0/i-14:0/i-24:0)[rac],HMDB0086087,,Children (1-13 years old),Both,Barth Syndrome
20526,CL(i-13:0/a-15:0/i-14:0/i-24:0)[rac],HMDB0086088,,Children (1-13 years old),Both,Barth Syndrome
20527,CL(i-13:0/a-15:0/i-14:0/a-25:0)[rac],HMDB0086089,,Children (1-13 years old),Both,Barth Syndrome
20528,CL(a-13:0/a-15:0/i-14:0/a-25:0)[rac],HMDB0086090,,Children (1-13 years old),Both,Barth Syndrome
20529,CL(i-13:0/i-15:0/i-14:0/a-25:0)[rac],HMDB0086091,,Children (1-13 years old),Both,Barth Syndrome
20530,CL(a-13:0/i-15:0/i-14:0/a-25:0)[rac],HMDB0086092,,Children (1-13 years old),Both,Barth Syndrome
20531,CL(i-13:0/i-15:0/i-15:0/i-12:0),HMDB0086093,,Children (1-13 years old),Both,Barth Syndrome
20532,CL(a-13:0/a-15:0/a-15:0/i-12:0)[rac],HMDB0086094,,Children (1-13 years old),Both,Barth Syndrome
20533,CL(a-13:0/i-15:0/a-15:0/i-12:0)[rac],HMDB0086095,,Children (1-13 years old),Both,Barth Syndrome
20534,CL(i-13:0/i-15:0/a-15:0/i-12:0)[rac],HMDB0086096,,Children (1-13 years old),Both,Barth Syndrome
20535,CL(a-13:0/a-15:0/i-15:0/i-12:0)[rac],HMDB0086097,,Children (1-13 years old),Both,Barth Syndrome
20536,CL(a-13:0/i-15:0/i-15:0/i-12:0)[rac],HMDB0086098,,Children (1-13 years old),Both,Barth Syndrome
20537,CL(i-13:0/a-15:0/a-15:0/i-12:0)[rac],HMDB0086099,,Children (1-13 years old),Both,Barth Syndrome
20538,CL(i-13:0/a-15:0/i-15:0/i-12:0)[rac],HMDB0086100,,Children (1-13 years old),Both,Barth Syndrome
20539,CL(a-13:0/a-15:0/a-15:0/a-13:0)[rac],HMDB0086101,,Children (1-13 years old),Both,Barth Syndrome
20540,CL(i-13:0/a-15:0/i-15:0/a-13:0)[rac],HMDB0086102,,Children (1-13 years old),Both,Barth Syndrome
20541,CL(i-13:0/i-15:0/i-15:0/i-13:0),HMDB0086103,,Children (1-13 years old),Both,Barth Syndrome
20542,CL(a-13:0/a-15:0/a-15:0/i-13:0)[rac],HMDB0086104,,Children (1-13 years old),Both,Barth Syndrome
20543,CL(a-13:0/i-15:0/a-15:0/i-13:0)[rac],HMDB0086105,,Children (1-13 years old),Both,Barth Syndrome
20544,CL(i-13:0/i-15:0/a-15:0/i-13:0)[rac],HMDB0086106,,Children (1-13 years old),Both,Barth Syndrome
20545,CL(a-13:0/a-15:0/i-15:0/i-13:0)[rac],HMDB0086107,,Children (1-13 years old),Both,Barth Syndrome
20546,CL(i-13:0/a-15:0/a-15:0/a-13:0)[rac],HMDB0086108,,Children (1-13 years old),Both,Barth Syndrome
20547,CL(a-13:0/i-15:0/i-15:0/i-13:0)[rac],HMDB0086109,,Children (1-13 years old),Both,Barth Syndrome
20548,CL(a-13:0/a-15:0/i-15:0/a-13:0)[rac],HMDB0086110,,Children (1-13 years old),Both,Barth Syndrome
20549,CL(i-13:0/i-15:0/a-15:0/a-13:0)[rac],HMDB0086111,,Children (1-13 years old),Both,Barth Syndrome
20550,CL(i-13:0/a-15:0/a-15:0/i-13:0)[rac],HMDB0086112,,Children (1-13 years old),Both,Barth Syndrome
20551,CL(a-13:0/i-15:0/a-15:0/a-13:0)[rac],HMDB0086113,,Children (1-13 years old),Both,Barth Syndrome
20552,CL(i-13:0/a-15:0/i-15:0/i-13:0)[rac],HMDB0086114,,Children (1-13 years old),Both,Barth Syndrome
